Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,2,Hard,2,0,2,0.0%,2,0,2,0.0%,2017,2022,Q1,1,1.10,9.4%,5.2%,59.4%,71.9%,56.4%,65.6%,37.9%,71.4%,13.3%
Roland Garros,4,Clay,8,4,4,50.0%,2,2,0,100.0%,2017,2022,Q3,5,0.93,6.8%,5.1%,61.1%,69.8%,46.8%,60.9%,36.3%,40.6%,41.9%
Wimbledon,3,Grass,8,5,3,62.5%,3,3,0,100.0%,2017,2022,R128,7,1.10,9.6%,4.2%,66.1%,74.0%,47.1%,64.9%,38.5%,60.0%,35.7%
US Open,3,Hard,4,1,3,25.0%,3,2,1,66.7%,2017,2022,Q2,3,0.79,7.4%,4.9%,58.6%,69.7%,44.0%,59.1%,32.5%,56.5%,6.7%
Davis Cup,1,,1,0,1,0.0%,1,1,0,100.0%,2025,2025,,0,,,,,,,,,,
Munich,6,Clay,8,2,6,25.0%,5,2,3,40.0%,2017,2025,R32,8,0.85,6.5%,2.9%,64.8%,70.8%,43.4%,61.2%,33.0%,62.9%,35.7%
Auckland,2,Hard,2,0,2,0.0%,2,1,1,50.0%,2019,2025,Q1,2,0.65,5.5%,5.5%,60.4%,66.7%,41.5%,56.7%,28.1%,65.0%,66.7%
Mallorca,2,Grass,3,1,2,33.3%,1,0,1,0.0%,2023,2024,Q2,3,0.97,9.4%,6.4%,60.1%,70.5%,44.4%,60.1%,38.7%,72.4%,40.0%
Stuttgart,4,Grass,4,0,4,0.0%,4,0,4,0.0%,2017,2024,Q1,4,0.82,6.0%,3.4%,72.1%,67.3%,45.4%,61.2%,31.8%,65.6%,29.2%
Hamburg,5,Clay,10,5,5,50.0%,4,2,2,50.0%,2015,2021,R16,9,1.03,4.8%,4.2%,64.8%,67.6%,49.8%,61.3%,39.8%,55.2%,42.3%
