Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,4,1,3,25.0%,5-6,45.5%,57-63,47.5%,2-2,50.0%,4,77.6%,17.2%,13.2%,4.9%,63.9%,70.3%,49.6%,62.9%,32.1%,47.9%,0.86,R16 (Glasgow)
2025,15,7,8,46.7%,16-18,47.1%,170-174,49.4%,3-4,42.9%,15,73.3%,26.7%,7.7%,4.3%,61.0%,70.2%,48.9%,61.9%,38.7%,49.5%,1.02,SF (Columbus)
2024,29,16,13,55.2%,38-31,55.1%,359-350,50.6%,8-6,57.1%,29,74.4%,26.5%,4.2%,5.0%,61.3%,68.9%,48.6%,61.0%,40.0%,50.4%,1.03,F (Lugano)
2023,17,3,14,17.6%,9-29,23.7%,155-213,42.1%,2-5,28.6%,17,68.1%,16.2%,7.4%,5.4%,61.0%,67.2%,46.3%,59.1%,32.5%,46.4%,0.80,R16 (3x)
2022,33,15,18,45.5%,36-41,46.8%,357-385,48.1%,6-6,50.0%,32,77.7%,18.8%,8.0%,4.8%,66.0%,71.5%,47.1%,63.2%,35.8%,49.3%,0.97,SF (2x)
2021,32,19,13,59.4%,44-35,55.7%,418-398,51.2%,8-9,47.1%,32,82.6%,19.4%,8.5%,4.1%,65.0%,73.3%,49.6%,65.0%,36.2%,50.7%,1.03,W (2x)
2020,18,10,8,55.6%,21-22,48.8%,217-223,49.3%,6-1,85.7%,18,78.6%,19.5%,7.6%,4.1%,63.6%,71.7%,47.7%,63.0%,36.9%,49.7%,1.00,QF (2x)
2019,56,28,28,50.0%,70-67,51.1%,675-657,50.7%,10-9,52.6%,56,76.9%,24.5%,7.8%,4.4%,64.7%,70.3%,48.3%,62.5%,39.3%,50.7%,1.05,SF (Mallorca)
2018,26,10,16,38.5%,25-35,41.7%,279-299,48.3%,1-6,14.3%,26,72.8%,25.1%,5.7%,6.7%,61.3%,70.9%,44.7%,60.8%,38.2%,49.4%,0.97,QF (2x)
2017,15,6,9,40.0%,15-20,42.9%,160-167,48.9%,2-1,66.7%,15,77.3%,19.9%,7.5%,4.5%,65.5%,70.1%,48.9%,62.8%,36.5%,49.5%,0.98,SF (Koblenz)
2016,31,16,15,51.6%,36-36,50.0%,339-336,50.2%,3-3,50.0%,31,74.3%,25.5%,5.7%,4.4%,61.7%,69.7%,46.6%,60.8%,38.4%,50.0%,0.98,SF (2x)
2015,11,4,7,36.4%,9-15,37.5%,107-123,46.5%,2-5,28.6%,11,76.1%,17.3%,5.4%,4.1%,62.9%,66.9%,49.3%,60.4%,34.4%,48.3%,0.87,QF (Ningbo)
2011,1,0,1,0.0%,0-2,0.0%,4-12,25.0%,0-0,-,1,50.0%,0.0%,2.0%,2.0%,68.0%,50.0%,50.0%,50.0%,26.5%,38.4%,0.53,R32 (Dortmund)
Career,288,135,153,46.9%,324-357,47.6%,3297-3400,49.2%,53-57,48.2%,287,76.2%,22.3%,7.0%,4.7%,63.4%,70.4%,47.8%,62.1%,37.4%,49.8%,0.99,
