Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),433,135,,,,,,,,,,,,
2025,396,152,369,1360,364,1333,337,1323,,,,
2024,275,244,350,1379,330,1360,326,1324,,,1027,32
2023,354,179,,,,,,,,,,
2022,371,139,,,,,,,,,,
2021,293,233,254,1413,228,1408,276,1291,216,1292,,
2020,200,332,,,,,,,,,958,26
2019,186,325,213,1494,204,1475,246,1353,209,1358,701,51
2018,189,309,220,1437,211,1416,217,1298,187,1350,286,237
2017,207,269,219,1385,225,1327,199,1314,,,148,483
2016,268,173,215,1415,209,1395,198,1332,186,1372,163,413
2015,212,239,202,1408,198,1385,,,,,216,304
2014,326,108,,,,,,,,,173,347
2013,333,143,,,,,,,,,382,147
2012,316,146,,,,,,,,,395,123
2011,449,84,,,,,,,,,480,99
2010,571,49,,,,,,,,,408,123
2009,525,52,,,,,,,,,,
2008,534,31,,,,,,,,,,
2007,750,12,,,,,,,,,,
2006,904,8,,,,,,,,,,
2005,1204,3,,,,,,,,,,
