Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2023 US Open R128,L vs Safiullin,103.6,108.2,4.2,109.9,105.4,114,96,97.2,4.0,,92.0,106,86
2023 Wimbledon R128,L vs Jarry,110.5,114.2,4.9,117.0,108.4,121,103,101.0,4.4,104.0,97.5,108,92
2021 US Open R128,L vs Svajda,106.9,110.6,9.4,113.0,106.5,123,66,97.2,7.9,104.3,89.0,117,62
2021 Wimbledon R128,L vs Broady,104.3,106.8,5.1,111.1,102.9,117,97,99.7,3.9,102.3,96.8,106,88
2019 Roland Garros R128,L vs Mahut,101.2,106.2,6.4,,,122,91,90.0,5.9,,,100,76
2018 US Open R128,L vs Benneteau,107.8,113.8,5.2,117.1,108.8,124,101,97.4,5.3,97.6,98.1,109,88
2017 Wimbledon R128,L vs Nishikori,100.4,102.2,7.2,104.9,100.6,117,86,94.2,5.5,94.8,85.5,101,82
2016 Roland Garros R128,L vs Kyrgios,102.7,109.8,8.5,,,123,92,91.9,8.3,,,106,78
2015 US Open R128,L vs Fish,107.5,115.0,7.6,,,129,96,94.2,7.3,,,112,74
Career (9 matches),,104.9,109.8,6.9,113.0,105.8,129,66,95.1,6.2,100.1,95.0,117,62
