Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2023,26,11,15,42.3%,25-36,41.0%,261-313,45.5%,6-3,66.7%,26,71.4%,18.1%,4.9%,3.8%,61.4%,65.3%,50.6%,59.6%,34.5%,47.9%,0.85,SF (Estoril)
2022,11,4,7,36.4%,10-19,34.5%,126-148,46.0%,1-2,33.3%,11,70.1%,21.6%,2.7%,2.3%,67.2%,63.9%,46.1%,58.1%,36.2%,47.5%,0.86,QF (Umag)
2021,37,16,21,43.2%,44-52,45.8%,440-468,48.5%,7-3,70.0%,37,76.5%,19.7%,5.4%,3.3%,66.7%,68.4%,50.3%,62.3%,36.5%,49.5%,0.97,F (Parma)
2020,21,8,13,38.1%,20-34,37.0%,251-280,47.3%,7-5,58.3%,21,74.8%,19.5%,5.6%,2.8%,66.8%,67.1%,50.0%,61.4%,35.9%,48.7%,0.93,F (Sardinia)
2019,35,11,24,31.4%,32-55,36.8%,393-464,45.9%,8-10,44.4%,34,75.2%,16.7%,5.9%,3.4%,63.3%,68.8%,49.0%,61.5%,34.4%,48.1%,0.90,W (Buenos Aires)
2018,50,26,24,52.0%,61-66,48.0%,629-649,49.2%,14-12,53.8%,49,78.9%,18.8%,6.3%,3.1%,68.6%,69.7%,49.5%,63.3%,35.1%,49.5%,0.96,W (2x)
2017,6,1,5,16.7%,3-12,20.0%,55-81,40.4%,0-2,0.0%,6,61.8%,19.7%,3.4%,4.8%,66.4%,65.1%,40.3%,56.8%,35.0%,45.8%,0.81,R16 (Umag)
2016,13,3,10,23.1%,9-22,29.0%,123-169,42.1%,1-2,33.3%,13,73.8%,10.4%,3.7%,2.6%,63.0%,67.8%,48.3%,60.6%,31.2%,46.3%,0.79,QF (Bucharest)
2015,4,0,4,0.0%,3-9,25.0%,46-70,39.7%,1-0,100.0%,4,64.9%,13.8%,4.9%,3.8%,63.1%,63.5%,43.4%,56.1%,30.7%,43.9%,0.70,R32 (2x)
2014,3,0,3,0.0%,2-6,25.0%,36-46,43.9%,1-1,50.0%,3,72.5%,15.0%,2.8%,2.8%,61.3%,65.8%,49.0%,59.3%,34.1%,46.6%,0.84,R32 (2x)
2013,1,0,1,0.0%,1-2,33.3%,9-13,40.9%,0-0,-,1,54.5%,27.3%,2.6%,1.3%,71.8%,55.4%,50.0%,53.8%,42.5%,48.3%,0.92,R32 (Nice)
Career,207,80,127,38.6%,210-313,40.2%,2369-2701,46.7%,46-40,53.5%,205,74.8%,18.2%,5.3%,3.2%,65.7%,67.7%,49.1%,61.3%,35.0%,48.5%,0.91,
