Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2025 Australian Open Q2,W vs Sultanov,1.17,1.17,58.0,8.0,5.3%,52.6%,3.1%,50.0%,60.0%,36.8%
2021 Tenerife CH R32,L vs Lopez,0.77,0.87,77.8,3.0,2.3%,62.8%,0.0%,68.4%,35.4%,42.6%
2021 Santiago 1 CH R32,L vs Baez,1.07,0.71,47.5,2.0,3.1%,56.3%,0.0%,46.7%,32.1%,32.0%
2019 Ostrava CH R64,L vs Lehecka,1.03,0.86,63.1,3.8,0.0%,45.7%,0.0%,44.2%,46.2%,46.2%
2019 M15 Doha R32,L vs Deviatiarov,0.91,0.80,50.2,14.3,0.0%,53.5%,0.0%,43.6%,40.5%,50.0%
2019 M15 Doha R32,L vs Ianakiev,1.11,0.74,38.6,2.1,0.0%,42.4%,0.0%,36.7%,33.3%,48.0%
2019 M15 Kaarst R16,L vs Van De Zandschulp,1.13,0.85,74.6,4.6,0.0%,52.3%,0.0%,50.0%,35.9%,37.8%
2025 (1 matches),,1.17,1.17,58.0,8.0,5.3%,52.6%,3.1%,50.0%,60.0%,36.8%
2021 (2 matches),,0.88,0.79,65.8,2.4,2.7%,60.0%,0.0%,58.8%,34.2%,38.9%
2019 (4 matches),,1.04,0.83,58.4,3.9,0.0%,48.8%,0.0%,44.2%,40.0%,45.3%
Career (7 matches),,1.02,0.86,60.4,3.5,1.4%,52.3%,0.4%,48.8%,41.3%,42.3%
