Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,545,301,244,55.2%,671-591,53.2%,6072-5706,51.6%,73-59,55.3%,346,60.7%,29.1%,3.8%,4.1%,62.6%,64.3%,45.7%,57.3%,43.4%,50.4%,1.02
Clay,170,94,76,55.3%,210-181,53.7%,1904-1773,51.8%,18-23,43.9%,88,45.1%,33.3%,3.5%,3.5%,65.2%,62.7%,47.7%,57.5%,44.2%,50.8%,1.04
Grass,104,65,39,62.5%,143-97,59.6%,1224-1079,53.1%,20-11,64.5%,77,66.7%,31.9%,4.3%,4.2%,66.1%,65.8%,48.6%,60.0%,42.6%,51.3%,1.06
Carpet,48,28,20,58.3%,55-50,52.4%,509-501,50.4%,7-7,50.0%,9,-,-,5.5%,5.0%,62.6%,63.3%,42.7%,55.6%,42.5%,49.0%,0.96
Grand Slams,154,93,61,60.4%,205-154,57.1%,1787-1605,52.7%,19-11,63.3%,121,41.5%,27.8%,4.3%,3.9%,63.1%,63.7%,47.0%,57.5%,44.3%,50.9%,1.04
Premiers,444,240,204,54.1%,527-491,51.8%,4848-4702,50.8%,63-49,56.3%,237,67.9%,17.8%,3.5%,3.8%,64.1%,64.1%,44.9%,57.2%,43.1%,50.2%,1.01
Internationals,164,102,62,62.2%,229-157,59.3%,1946-1662,53.9%,24-23,51.1%,114,61.1%,36.2%,4.3%,4.3%,63.6%,65.8%,48.4%,59.5%,43.9%,51.6%,1.08
Finals,16,7,9,43.8%,20-20,50.0%,179-184,49.3%,1-2,33.3%,12,64.3%,42.9%,4.5%,4.3%,63.3%,67.2%,44.4%,58.8%,39.6%,49.1%,0.96
Semi-finals,42,16,26,38.1%,39-60,39.4%,443-492,47.4%,5-6,45.5%,24,62.5%,40.0%,3.2%,4.0%,64.7%,63.4%,45.3%,57.1%,42.6%,49.8%,0.99
Quarter-finals,96,38,58,39.6%,91-128,41.6%,981-1091,47.3%,13-16,44.8%,49,72.2%,41.2%,3.5%,3.3%,64.8%,61.7%,45.8%,56.1%,41.9%,49.0%,0.95
vs Righties,787,443,344,56.3%,982-832,54.1%,8829-8219,51.8%,112-91,55.2%,476,60.0%,30.2%,3.8%,4.1%,63.5%,64.2%,46.1%,57.6%,43.4%,50.6%,1.02
vs Lefties,79,45,34,57.0%,97-85,53.3%,877-828,51.4%,6-9,40.0%,44,-,-,4.2%,3.9%,63.9%,64.5%,49.3%,59.0%,43.1%,51.2%,1.05
vs Top 10,131,33,98,25.2%,94-208,31.1%,1209-1603,43.0%,13-12,52.0%,77,28.6%,0.0%,3.3%,4.5%,63.4%,61.0%,41.8%,54.0%,39.7%,47.1%,0.86
