Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2024 Olympics QF,L vs Zheng,74.5%,46.1%,4.9%,1/4,2.44,2.0%,66.7%,34.4%,8.3%,2.40,2.9%,88.0%,54.5%,2.0%,2.52,0.0%
2024 Olympics R16,W vs Fernandez,92.6%,55.6%,4.4%,3/0,2.75,2.6%,95.2%,65.0%,4.8%,2.81,3.8%,100.0%,39.1%,4.3%,2.63,0.0%
2024 Olympics R32,W vs Cristian,81.3%,43.6%,4.2%,0/4,2.24,3.9%,83.6%,39.2%,4.9%,2.35,3.6%,90.0%,51.9%,3.3%,1.92,5.0%
2024 Olympics R64,W vs Osaka,78.6%,47.7%,3.6%,1/1,2.46,2.7%,76.7%,30.4%,6.7%,2.28,4.0%,87.5%,66.7%,0.0%,2.85,0.0%
2024 Roland Garros R128,L vs Rus,87.9%,33.3%,5.2%,2/1,2.59,0.0%,94.0%,36.2%,4.0%,2.60,0.0%,80.0%,0.0%,20.0%,2.58,0.0%
2024 Rome R16,L vs Swiatek,80.6%,38.0%,4.8%,1/2,2.84,2.0%,86.7%,38.5%,2.2%,2.89,3.1%,68.8%,36.4%,12.5%,2.74,0.0%
2024 Rome R64,W vs Kudermetova,91.4%,59.4%,8.6%,1/2,2.50,0.0%,88.9%,56.3%,16.7%,2.54,0.0%,100.0%,62.5%,0.0%,2.41,0.0%
2024 Indian Wells R16,L vs Wozniacki,73.2%,48.8%,8.9%,0/5,2.58,1.8%,80.0%,39.3%,14.3%,2.65,2.2%,61.9%,69.2%,0.0%,2.28,0.0%
2024 Linz R32,L vs Bronzetti,63.2%,29.2%,10.5%,2/2,2.70,0.0%,62.5%,26.7%,12.5%,2.57,0.0%,75.0%,33.3%,8.3%,3.02,0.0%
2024 United Cup F,L vs Swiatek,72.9%,37.2%,11.9%,3/4,2.52,2.9%,77.3%,38.2%,4.5%,2.50,4.8%,75.0%,33.3%,41.7%,2.54,0.0%
2024 United Cup QF,L vs Sakkari,82.7%,37.2%,3.8%,2/0,2.87,0.0%,84.4%,29.6%,0.0%,2.61,0.0%,88.9%,50.0%,11.1%,3.46,0.0%
2024 United Cup RR,L vs Garcia,70.8%,52.9%,8.3%,1/5,2.86,4.7%,60.9%,50.0%,10.9%,2.78,6.7%,88.5%,56.5%,3.8%,3.02,0.0%
2023 United Cup RR,L vs Paolini,80.6%,50.0%,11.1%,3/5,2.55,1.3%,88.6%,43.6%,15.9%,2.61,1.5%,79.2%,63.2%,4.2%,2.29,0.0%
2022 Roland Garros R128,W vs Frech,90.2%,49.5%,4.5%,1/4,2.57,6.4%,92.4%,49.2%,4.5%,2.57,6.3%,97.6%,50.0%,4.9%,2.53,6.7%
2022 Strasbourg F,W vs Juvan,84.6%,48.8%,7.7%,6/5,2.34,8.9%,83.9%,43.8%,2.3%,2.41,6.5%,90.6%,56.3%,17.0%,2.16,16.1%
2022 Indian Wells R16,L vs Swiatek,73.9%,51.5%,5.4%,1/4,2.40,4.7%,77.0%,51.1%,3.3%,2.34,7.3%,80.8%,52.4%,11.5%,2.50,0.0%
2022 Indian Wells R64,W vs Zheng,75.5%,53.5%,7.4%,1/6,2.31,1.2%,86.0%,56.8%,9.3%,2.44,1.9%,85.0%,50.0%,7.5%,2.05,0.0%
2021 BJK Cup Finals RR,W vs Krejcikova,83.0%,55.7%,3.8%,0/4,2.43,14.7%,84.9%,48.4%,2.7%,2.57,22.7%,86.7%,73.1%,6.7%,2.19,0.0%
2021 Indian Wells QF,L vs Badosa,79.4%,46.3%,2.9%,0/2,1.91,4.3%,87.5%,45.2%,2.1%,1.96,7.4%,75.0%,50.0%,6.3%,1.86,0.0%
2021 US Open R16,L vs Fernandez,78.2%,43.0%,11.9%,11/1,2.49,5.1%,80.6%,42.0%,9.7%,2.49,7.7%,87.9%,44.8%,18.2%,2.49,0.0%
Last 52 Weeks (13 matches),,79.2%,45.1%,6.7%,36.4%,2.58,1.9%,80.7%,41.1%,7.5%,2.56,2.4%,84.8%,52.3%,5.8%,2.61,0.5%
Career (170 matches),,80.1%,49.9%,4.9%,31.7%,2.50,7.3%,81.7%,46.7%,3.5%,2.47,9.5%,87.5%,55.8%,8.2%,2.55,3.0%
