Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,35,16,19,45.7%,34-35,49.3%,318-314,50.3%,1-3,25.0%,0,,,,,,,,,,,
Clay,182,102,80,56.0%,218-177,55.2%,1887-1705,52.5%,3-4,42.9%,0,,,,,,,,,,,
Grass,157,85,72,54.1%,190-168,53.1%,1701-1634,51.0%,1-2,33.3%,0,,,,,,,,,,,
Carpet,84,36,48,42.9%,81-111,42.2%,797-911,46.7%,3-2,60.0%,0,,,,,,,,,,,
Grand Slams,24,8,16,33.3%,21-34,38.2%,228-277,45.1%,0-0,-,0,,,,,,,,,,,
Finals,28,17,11,60.7%,34-27,55.7%,294-279,51.3%,2-1,66.7%,0,,,,,,,,,,,
Semi-finals,51,25,26,49.0%,60-59,50.4%,526-550,48.9%,0-3,0.0%,0,,,,,,,,,,,
Quarter-finals,83,42,41,50.6%,83-86,49.1%,755-758,49.9%,4-2,66.7%,0,,,,,,,,,,,
vs Righties,185,64,121,34.6%,155-257,37.6%,1712-2112,44.8%,4-6,40.0%,0,,,,,,,,,,,
vs Lefties,26,12,14,46.2%,24-32,42.9%,216-266,44.8%,1-0,100.0%,0,,,,,,,,,,,
