Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
7,Illya Marchenko [UKR],2,5,28.6%,3,1,2,33.3%,2006,2019,5,0.88,9.5%,2.6%,69.6%,69.9%,52.9%,64.7%,31.1%,60.0%,45.5%
6,Ze Zhang [CHN],5,1,83.3%,5,5,0,100.0%,2015,2018,6,1.14,6.3%,2.3%,64.8%,66.7%,56.0%,62.9%,42.1%,59.0%,36.8%
6,Evgeny Donskoy [RUS],1,5,16.7%,2,1,1,50.0%,2012,2017,6,0.88,5.1%,2.4%,69.1%,72.0%,46.8%,64.2%,31.5%,59.0%,22.2%
6,Ivan Sergeyev [UKR],2,4,33.3%,3,1,2,33.3%,2006,2012,0,,,,,,,,,,
5,Tobias Kamke [GER],0,5,0.0%,0,0,0,-,2014,2019,5,0.77,3.5%,2.9%,66.0%,64.1%,42.5%,56.7%,33.3%,57.5%,20.0%
5,Alexey Vatutin [RUS],2,3,40.0%,3,1,2,33.3%,2016,2019,5,1.00,6.2%,5.1%,65.9%,63.5%,38.6%,55.0%,45.2%,50.0%,47.3%
5,Saketh Myneni [IND],1,4,20.0%,1,1,0,100.0%,2014,2018,5,0.89,4.9%,2.4%,68.6%,66.7%,52.4%,62.2%,33.8%,51.9%,61.5%
5,Andrey Golubev [KAZ],2,3,40.0%,2,1,1,50.0%,2013,2017,5,0.91,7.1%,3.7%,62.9%,75.5%,47.7%,65.1%,31.6%,52.2%,47.6%
5,Radu Albot [MDA],4,1,80.0%,1,1,0,100.0%,2010,2016,4,1.11,9.6%,1.2%,68.9%,69.4%,51.3%,63.7%,40.3%,70.4%,33.3%
4,Vladyslav Manafov [UKR],2,2,50.0%,2,2,0,100.0%,2016,2021,4,1.02,8.4%,2.0%,70.2%,69.5%,51.7%,64.2%,36.6%,60.0%,36.8%
4,Dudi Sela [ISR],0,4,0.0%,0,0,0,-,2006,2019,3,0.56,0.7%,2.1%,61.5%,55.7%,41.8%,50.3%,27.7%,52.4%,25.0%
4,Andrej Martin [SVK],0,4,0.0%,4,1,3,25.0%,2015,2019,4,0.88,4.2%,4.6%,60.8%,68.8%,39.2%,57.2%,37.6%,50.0%,47.4%
4,Egor Gerasimov [BLR],3,1,75.0%,3,1,2,33.3%,2013,2019,3,1.05,3.9%,3.6%,58.1%,65.4%,48.8%,58.4%,43.4%,58.1%,42.4%
4,Cem Ilkel [TUR],1,3,25.0%,1,0,1,0.0%,2013,2018,4,1.00,5.1%,5.1%,65.5%,61.1%,52.3%,58.0%,42.1%,48.0%,46.2%
4,Adrian Menendez Maceiras [ESP],2,2,50.0%,3,2,1,66.7%,2014,2017,4,0.93,10.8%,3.7%,60.6%,74.1%,54.7%,66.5%,31.3%,68.0%,45.5%
