Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2026 Indian Wells R16,L vs Draper,5.6%,40.0%,14.2%,57.1%,15.6%,19.1%,10.0%,9.8%,10.5%,2.1%,0.0%,-27,-24
2026 Indian Wells R32,W vs Kovacevic,0.0%,-,5.4%,66.7%,18.2%,21.6%,50.0%,16.7%,35.7%,1.5%,50.0%,-70,-54
2026 Australian Open F,L vs Alcaraz,4.2%,40.0%,15.2%,58.8%,16.9%,16.7%,60.0%,10.6%,28.0%,1.8%,42.9%,16,6
2026 Australian Open SF,W vs Sinner,2.7%,50.0%,11.3%,51.5%,17.7%,25.6%,0.0%,8.7%,17.6%,1.6%,12.5%,-68,-46
2026 Australian Open QF,W vs Musetti,11.1%,55.6%,24.2%,63.9%,10.7%,17.1%,0.0%,8.2%,12.5%,1.9%,40.0%,33,4
2026 Australian Open R32,W vs Van De Zandschulp,0.0%,-,11.0%,59.1%,16.8%,28.6%,20.0%,8.8%,20.0%,1.2%,25.0%,-52,-16
2025 Athens F,W vs Musetti,2.2%,50.0%,19.7%,63.2%,9.1%,9.4%,0.0%,5.3%,14.3%,1.5%,50.0%,-64,-58
2025 Athens SF,W vs Hanfmann,7.1%,66.7%,10.1%,80.0%,13.3%,20.0%,0.0%,4.1%,20.0%,2.2%,66.7%,-19,6
2025 Athens R16,W vs Tabilo,6.5%,100.0%,11.6%,85.7%,17.0%,31.3%,0.0%,11.9%,20.0%,2.1%,40.0%,-37,-13
2025 Shanghai SF,L vs Vacherot,3.6%,50.0%,10.2%,33.3%,10.8%,23.8%,0.0%,8.6%,13.0%,3.2%,14.3%,-72,-34
2025 Shanghai R64,W vs Cilic,0.0%,-,7.0%,66.7%,26.0%,35.3%,0.0%,14.3%,30.0%,0.5%,0.0%,-69,-12
2025 US Open SF,L vs Alcaraz,6.7%,33.3%,11.5%,47.6%,15.1%,17.5%,100.0%,6.5%,17.4%,0.7%,0.0%,-10,-33
2025 US Open QF,W vs Fritz,8.5%,90.9%,12.9%,69.7%,14.6%,19.1%,50.0%,7.3%,14.3%,1.4%,28.6%,-42,-18
2025 US Open R16,W vs Struff,0.0%,-,5.3%,87.5%,16.5%,0.0%,0.0%,10.4%,0.0%,1.7%,25.0%,-16,1
2025 US Open R64,W vs Svajda,6.4%,83.3%,13.7%,76.7%,19.4%,22.0%,50.0%,11.6%,22.6%,1.7%,28.6%,-13,16
2025 US Open R128,W vs Tien,10.3%,77.8%,18.0%,75.8%,11.3%,25.0%,5.9%,6.3%,24.0%,1.7%,16.7%,-51,-25
2025 Wimbledon SF,L vs Sinner,30.0%,66.7%,18.8%,54.8%,9.1%,11.1%,0.0%,2.1%,7.7%,1.7%,0.0%,21,30
2025 Wimbledon QF,W vs Cobolli,7.8%,62.5%,12.8%,63.6%,13.3%,19.0%,25.0%,10.1%,22.7%,2.5%,66.7%,-55,-8
2025 Wimbledon R16,W vs De Minaur,9.0%,72.7%,20.7%,64.0%,6.9%,15.4%,33.3%,9.3%,30.8%,1.6%,20.0%,-77,-51
2025 Wimbledon R32,W vs Kecmanovic,7.5%,75.0%,16.5%,76.9%,24.7%,20.6%,25.0%,15.5%,25.9%,2.6%,42.9%,31,49
Career (652 matches),,2.4%,70.5%,11.2%,70.4%,12.8%,15.8%,11.9%,7.5%,17.7%,1.6%,27.9%,-47,-32
