Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2026 Indian Wells R16,L vs Draper,24.5%,37.2%,55.1%,32.0%,32.3%,43.5%,47.6%,43.7%,59.3%,48.6%,33.3%,10.0%,26.7%,66.7%,-15
2026 Indian Wells R32,W vs Kovacevic,25.7%,38.6%,64.6%,31.6%,31.8%,47.7%,63.3%,41.1%,40.0%,41.7%,50.0%,18.2%,27.3%,66.7%,51
2026 Australian Open F,L vs Alcaraz,22.8%,42.3%,51.6%,32.8%,23.5%,47.1%,55.4%,38.1%,56.4%,43.5%,55.6%,22.2%,33.3%,42.9%,1
2026 Australian Open SF,W vs Sinner,28.9%,39.0%,52.7%,36.0%,35.7%,47.3%,55.6%,45.8%,60.4%,52.5%,50.0%,13.6%,20.5%,47.4%,18
2026 Australian Open QF,W vs Musetti,16.5%,34.1%,44.3%,26.4%,20.4%,42.6%,51.2%,35.9%,46.2%,46.4%,16.7%,10.0%,20.0%,33.3%,-30
2026 Australian Open R32,W vs Van De Zandschulp,32.3%,40.6%,62.7%,37.8%,39.3%,50.8%,62.2%,48.0%,62.5%,48.3%,100.0%,24.1%,27.6%,63.6%,102
2025 Athens F,W vs Musetti,27.8%,37.1%,55.2%,35.7%,31.1%,44.3%,57.1%,43.6%,43.5%,47.4%,50.0%,24.2%,27.3%,52.0%,47
2025 Athens SF,W vs Hanfmann,39.2%,51.0%,54.8%,47.5%,44.7%,60.5%,52.4%,55.8%,47.1%,61.9%,-,23.1%,23.1%,60.0%,-79
2025 Athens R16,W vs Tabilo,35.6%,55.9%,68.4%,44.6%,51.4%,70.3%,83.3%,65.7%,55.6%,31.6%,0.0%,9.1%,31.8%,55.0%,-79
2025 Shanghai SF,L vs Vacherot,27.9%,32.8%,43.6%,30.7%,39.5%,42.1%,34.8%,43.9%,52.4%,47.1%,50.0%,11.1%,22.2%,56.3%,-22
2025 Shanghai R64,W vs Cilic,38.4%,50.7%,62.8%,44.9%,49.0%,61.2%,68.0%,58.8%,33.3%,50.0%,-,18.2%,31.8%,55.6%,47
2025 US Open SF,L vs Alcaraz,22.6%,31.2%,50.7%,28.3%,25.0%,37.5%,54.8%,34.5%,48.4%,52.0%,0.0%,21.9%,25.0%,44.0%,90
2025 US Open QF,W vs Fritz,25.9%,36.7%,57.9%,32.8%,33.0%,46.6%,57.6%,43.9%,52.3%,43.2%,42.9%,16.3%,23.3%,58.3%,33
2025 US Open R16,W vs Struff,36.5%,48.6%,55.3%,42.0%,45.8%,60.4%,61.5%,54.4%,61.1%,50.0%,-,19.2%,26.9%,47.6%,-79
2025 US Open R64,W vs Svajda,31.7%,46.2%,70.1%,37.2%,46.8%,61.3%,69.7%,56.0%,73.1%,55.6%,0.0%,10.5%,26.3%,70.6%,-13
2025 US Open R128,W vs Tien,26.6%,41.5%,55.4%,35.5%,37.5%,58.9%,62.9%,52.5%,48.3%,40.7%,40.0%,11.8%,17.6%,46.7%,-2
2025 Wimbledon SF,L vs Sinner,35.9%,46.7%,33.9%,42.0%,46.8%,62.9%,57.6%,55.8%,42.4%,37.9%,0.0%,13.3%,13.3%,3.8%,-79
2025 Wimbledon QF,W vs Cobolli,41.4%,49.1%,56.1%,48.5%,46.9%,55.6%,53.5%,57.2%,48.6%,56.8%,0.0%,30.3%,36.4%,60.9%,7
2025 Wimbledon R16,W vs De Minaur,25.6%,39.5%,48.4%,34.7%,31.8%,49.4%,55.2%,45.5%,57.8%,45.0%,60.0%,15.4%,23.1%,36.4%,32
2025 Wimbledon R32,W vs Kecmanovic,33.3%,56.5%,67.4%,46.1%,38.8%,67.3%,70.0%,56.7%,56.5%,50.0%,100.0%,23.5%,35.3%,61.5%,102
Career (652 matches),,27.4%,38.4%,56.2%,34.3%,33.9%,47.4%,59.3%,44.6%,48.0%,47.7%,46.0%,17.0%,24.1%,51.3%,45
