Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,10,8,2,80.0%,18-11,62.1%,148-123,54.6%,1-1,50.0%,9,84.1%,24.4%,7.7%,3.2%,67.1%,73.3%,53.4%,66.8%,39.2%,52.6%,1.18,F (Australian Open)
2025,47,37,10,78.7%,95-37,72.0%,743-542,57.8%,11-12,47.8%,47,88.3%,26.5%,10.1%,2.6%,66.5%,76.8%,55.2%,69.6%,39.6%,54.2%,1.30,W (2x)
2024,45,34,11,75.6%,86-35,71.1%,667-482,58.1%,10-7,58.8%,42,86.2%,28.5%,8.7%,3.0%,64.0%,75.5%,55.5%,68.3%,40.7%,54.2%,1.28,F (2x)
2023,63,56,7,88.9%,144-32,81.8%,1044-704,59.7%,31-8,79.5%,63,88.9%,28.8%,8.6%,3.4%,63.9%,77.0%,57.4%,69.9%,41.0%,54.9%,1.36,W (7x)
2022,50,43,7,86.0%,99-27,78.6%,712-490,59.2%,19-5,79.2%,47,87.9%,28.5%,8.0%,2.5%,65.6%,77.2%,56.5%,70.1%,41.2%,55.1%,1.38,W (5x)
2021,63,56,7,88.9%,141-41,77.5%,1044-673,60.8%,12-12,50.0%,56,87.6%,33.8%,9.3%,3.1%,64.8%,76.8%,54.4%,68.9%,43.0%,55.4%,1.38,W (5x)
2020,46,41,5,89.1%,99-22,81.8%,685-450,60.4%,15-2,88.2%,46,86.1%,33.0%,7.8%,3.8%,64.3%,75.4%,52.9%,67.4%,43.3%,54.9%,1.33,W (5x)
2019,65,55,10,84.6%,136-31,81.4%,962-619,60.8%,15-4,78.9%,64,88.0%,32.3%,7.8%,3.4%,66.0%,76.3%,56.8%,69.7%,42.1%,55.4%,1.39,W (5x)
2018,70,56,14,80.0%,141-46,75.4%,1056-736,58.9%,15-11,57.7%,69,87.3%,30.2%,6.8%,3.0%,66.2%,74.1%,56.9%,68.3%,41.8%,54.5%,1.32,W (4x)
2017,41,33,8,80.5%,75-27,73.5%,576-420,57.8%,10-6,62.5%,40,83.8%,31.3%,5.3%,2.5%,66.0%,72.5%,53.3%,66.0%,41.8%,53.8%,1.23,W (2x)
2016,75,66,9,88.0%,149-34,81.4%,1054-674,61.0%,20-8,71.4%,74,86.4%,33.9%,5.4%,3.4%,64.9%,73.5%,56.0%,67.4%,43.9%,55.2%,1.35,W (7x)
2015,89,83,6,93.3%,195-37,84.1%,1367-825,62.4%,17-9,65.4%,87,89.5%,34.4%,7.3%,2.1%,66.4%,74.4%,60.2%,69.7%,43.0%,55.8%,1.42,W (11x)
2014,73,65,8,89.0%,149-41,78.4%,1085-695,61.0%,13-10,56.5%,69,87.7%,33.3%,8.0%,2.0%,66.7%,75.0%,56.4%,68.8%,42.7%,55.3%,1.37,W (7x)
2013,83,74,9,89.2%,187-44,81.0%,1345-841,61.5%,22-10,68.8%,76,88.0%,33.2%,8.2%,2.0%,65.8%,74.9%,59.6%,69.7%,43.1%,55.6%,1.42,W (7x)
2012,87,75,12,86.2%,178-50,78.1%,1305-826,61.2%,17-12,58.6%,86,87.2%,34.7%,7.7%,2.3%,64.1%,74.9%,56.3%,68.2%,43.5%,55.5%,1.37,W (6x)
2011,79,72,7,91.1%,159-35,82.0%,1108-655,62.8%,9-10,47.4%,75,86.4%,38.8%,6.3%,2.6%,65.3%,74.1%,55.6%,67.7%,44.6%,56.0%,1.38,W (10x)
2010,81,63,18,77.8%,157-60,72.4%,1179-862,57.8%,13-9,59.1%,72,82.2%,32.2%,5.2%,4.8%,64.1%,70.8%,52.0%,64.1%,42.0%,53.1%,1.17,W (2x)
2009,97,78,19,80.4%,175-66,72.6%,1346-989,57.6%,20-16,55.6%,95,84.5%,31.2%,7.0%,3.7%,63.0%,72.8%,53.7%,65.7%,41.7%,53.5%,1.22,W (5x)
2008,81,64,17,79.0%,152-50,75.2%,1151-808,58.8%,19-13,59.4%,78,86.8%,30.1%,8.3%,2.6%,65.0%,73.7%,56.6%,67.7%,40.9%,54.0%,1.27,W (4x)
2007,87,68,19,78.2%,164-66,71.3%,1280-972,56.8%,30-13,69.8%,83,83.9%,28.2%,7.5%,2.8%,64.1%,72.3%,53.9%,65.7%,40.2%,52.9%,1.17,W (5x)
2006,58,40,18,69.0%,100-55,64.5%,819-688,54.3%,19-5,79.2%,52,81.3%,26.5%,6.9%,3.7%,62.8%,71.8%,52.6%,64.6%,38.7%,51.8%,1.09,W (2x)
2005,22,11,11,50.0%,34-31,52.3%,318-319,49.9%,9-2,81.8%,18,74.7%,21.8%,5.2%,3.4%,63.4%,69.7%,47.6%,61.6%,36.7%,49.3%,0.96,R16 (3x)
2004,5,2,3,40.0%,6-7,46.2%,62-64,49.2%,0-1,0.0%,4,63.0%,29.1%,7.0%,5.6%,62.4%,60.8%,43.6%,54.3%,41.4%,48.0%,0.91,R16 (Bucharest)
Career,1417,1180,237,83.3%,2839-885,76.2%,21056-14457,59.3%,347-186,65.1%,1352,86.2%,31.5%,7.4%,3.0%,64.9%,74.2%,55.5%,67.7%,41.9%,54.5%,1.30,
