Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2023 US Open R128,L vs Paul,1.07,0.71,26.7,2.0,0.0%,42.1%,0.0%,59.6%,24.0%,43.2%
2021 US Open R128,L vs Moutet,0.98,0.77,29.5,2.1,3.2%,59.7%,14.5%,52.7%,34.5%,34.0%
2021 Wimbledon R128,L vs Martinez,0.89,0.83,44.9,2.5,9.7%,61.3%,12.3%,56.1%,38.7%,37.5%
2021 Roland Garros R128,L vs De Minaur,0.86,0.75,35.7,2.3,10.5%,68.4%,5.9%,45.1%,42.4%,30.9%
2021 Australian Open R128,L vs Tiafoe,0.91,0.70,32.1,2.8,9.1%,45.5%,10.3%,53.8%,35.6%,42.9%
2021 Great Ocean Road Open F,L vs Sinner,0.97,0.82,63.4,3.1,2.1%,52.1%,2.1%,53.2%,44.2%,35.0%
2020 Roland Garros R32,L vs Nadal,0.82,0.33,21.3,2.0,0.0%,51.6%,3.6%,42.9%,29.0%,12.9%
2020 Roland Garros R64,W vs Nishikori,1.20,1.15,49.2,3.2,1.2%,63.1%,3.8%,56.3%,36.7%,40.8%
2020 Roland Garros R128,W vs Andujar,1.25,1.53,31.9,2.5,5.6%,59.3%,2.0%,68.0%,42.2%,47.6%
2020 US Open R128,L vs Thompson,1.00,0.73,32.7,2.0,3.2%,56.5%,6.8%,66.1%,32.1%,23.9%
2020 Australian Open R128,L vs Garin,0.90,0.63,31.3,2.1,2.2%,62.2%,9.8%,53.7%,38.8%,18.2%
2020 Atp Cup RR,L vs Khachanov,0.89,0.66,46.2,3.9,9.7%,61.3%,7.4%,51.9%,36.4%,28.1%
2019 Stockholm R32,W vs Opelka,1.09,1.41,65.2,2.8,9.3%,74.4%,10.3%,79.5%,26.1%,34.1%
2019 Sopot CH F,W vs Horansky,1.20,1.45,42.8,2.4,-,65.9%,-,66.7%,50.0%,31.0%
2019 Sopot CH SF,W vs Lamasine,1.02,1.60,47.9,2.0,-,64.3%,-,75.0%,51.6%,44.8%
2019 Sopot CH QF,W vs Safwat,1.06,1.42,52.6,2.6,3.3%,63.3%,7.4%,63.0%,45.5%,53.1%
2019 Sopot CH R16,W vs Elias,1.30,1.59,46.1,2.1,-,66.7%,-,53.6%,46.4%,50.0%
2019 Sopot CH R32,W vs Michalski,1.52,2.63,24.4,2.0,-,66.7%,-,56.0%,73.9%,57.9%
2019 Gstaad R16,L vs Carballes Baena,0.77,0.61,44.9,3.1,-,59.3%,-,57.7%,30.0%,37.0%
2019 Umag QF,L vs Balazs,0.90,0.83,35.1,5.0,-,66.7%,-,51.0%,37.0%,37.5%
2023 (1 matches),,1.07,0.71,26.7,2.0,0.0%,42.1%,0.0%,59.6%,24.0%,43.2%
2021 (5 matches),,0.92,0.77,40.6,2.5,7.0%,58.2%,9.2%,52.2%,39.0%,35.8%
2020 (6 matches),,1.05,0.85,37.1,2.5,3.3%,59.6%,5.3%,58.2%,36.2%,30.5%
2019 (35 matches),,1.04,1.09,56.7,3.2,7.8%,64.5%,6.2%,61.3%,38.4%,38.8%
2018 (46 matches),,1.05,1.08,57.8,2.9,12.6%,65.7%,10.2%,62.9%,37.5%,35.6%
Career (244 matches),,1.05,1.12,55.1,2.8,7.8%,63.7%,5.9%,61.2%,40.7%,39.8%
