Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2025 Geneva SF,L vs Hurkacz,39.6%,49.1%,43.3%,42.8%,51.4%,54.3%,41.2%,56.3%,47.4%,56.3%,50.0%,18.8%,43.8%,46.2%,65
2024 Olympics R32,L vs Medvedev,15.5%,32.8%,40.8%,21.9%,25.8%,41.9%,39.1%,37.7%,50.0%,52.9%,100.0%,3.7%,22.2%,42.3%,-79
2024 Olympics R64,W vs Haase,27.4%,46.8%,54.5%,33.1%,50.0%,76.9%,61.5%,63.5%,55.6%,35.3%,50.0%,11.4%,25.7%,51.6%,-37
2024 Mallorca F,L vs Tabilo,30.8%,44.2%,50.0%,40.0%,39.3%,60.7%,64.7%,56.4%,41.7%,43.8%,100.0%,22.7%,27.3%,35.3%,47
2024 Barcelona R32,L vs Tsitsipas,20.0%,32.3%,48.0%,24.8%,31.4%,45.7%,41.7%,40.3%,45.5%,46.2%,50.0%,7.1%,17.9%,53.8%,-45
2023 Sofia QF,L vs Mannarino,27.8%,37.0%,41.9%,32.2%,40.3%,49.3%,50.0%,47.5%,70.0%,29.7%,42.9%,8.1%,18.9%,32.4%,-38
2023 Shanghai R64,L vs Paul,22.0%,30.5%,34.1%,28.3%,22.5%,35.0%,32.3%,31.8%,42.9%,63.2%,33.3%,23.5%,23.5%,38.5%,80
2023 Astana QF,W vs Thiem,28.0%,40.2%,66.7%,33.7%,37.7%,52.8%,75.8%,46.4%,57.1%,40.6%,33.3%,11.1%,18.5%,54.2%,-4
2023 Bastad QF,L vs Ruud,20.0%,35.4%,49.0%,28.8%,25.0%,47.5%,56.7%,39.3%,59.1%,50.0%,100.0%,12.5%,16.7%,38.1%,-19
2023 Salzburg CH F,W vs Neumayer,39.6%,52.8%,65.5%,45.7%,60.0%,76.0%,90.0%,72.8%,63.6%,57.1%,-,24.0%,36.0%,52.6%,83
2023 Roland Garros Q2,W vs Choinski,31.8%,42.4%,54.8%,35.8%,47.5%,57.5%,57.1%,54.0%,66.7%,36.4%,-,8.7%,21.7%,52.4%,-33
2023 Estoril R32,L vs Thiem,22.0%,33.0%,49.3%,29.0%,25.0%,40.4%,56.4%,37.3%,48.4%,61.9%,50.0%,20.0%,25.7%,39.3%,76
2022 Kitzbuhel R16,L vs Thiem,18.7%,24.0%,48.2%,21.5%,31.7%,39.0%,53.6%,36.8%,40.9%,36.8%,100.0%,3.4%,6.9%,42.9%,-86
2019 Ortisei CH F,L vs Sinner,32.9%,44.3%,34.9%,38.9%,37.8%,51.1%,42.9%,47.1%,43.5%,59.1%,57.1%,28.6%,38.1%,20.0%,146
2017 Kitzbuhel R16,W vs Cuevas,32.6%,36.0%,58.9%,33.7%,46.2%,51.3%,66.7%,48.7%,61.5%,30.8%,-,22.2%,24.4%,54.3%,-15
Career (15 matches),,27.0%,38.1%,49.2%,32.3%,37.2%,50.4%,53.6%,46.4%,52.8%,45.0%,57.9%,14.6%,23.6%,44.4%,29
