Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),78,694,92,1713,103,1655,71,1696,64,1635,,,,
2025,132,463,111,1680,137,1591,84,1679,74,1619,,,,
2024,88,643,100,1699,103,1648,87,1666,78,1615,249,270,,
2023,43,1048,60,1774,69,1691,35,1753,41,1673,,,,
2022,193,288,138,1641,154,1558,109,1623,85,1595,,,,
2021,193,347,173,1575,164,1540,196,1496,102,1567,,,,
2020,159,402,166,1559,151,1530,174,1493,,,510,80,,
2019,156,333,209,1539,171,1536,226,1454,159,1485,491,80,,
2018,179,285,223,1508,178,1516,260,1402,143,1502,432,48,,
2017,143,389,185,1560,186,1501,193,1487,90,1582,1068,24,,
2016,288,173,,,,,,,,,616,84,,
2015,743,32,,,,,,,,,1241,18,,
2014,1213,6,,,,,,,,,1732,6,,
2013,1519,2,,,,,,,,,1194,16,,
