Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2025 Geneva SF,L vs Hurkacz,0.73,0.48,33.4,2.0,3.7%,59.3%,3.8%,69.2%,24.1%,23.1%
2024 US Open R128,L vs Cerundolo,0.91,0.75,36.1,6.0,9.4%,62.5%,10.2%,54.2%,29.0%,40.7%
2024 Paris Olympics R32,L vs Medvedev,0.98,0.51,39.5,2.2,6.7%,56.7%,7.1%,42.9%,16.0%,38.1%
2024 Paris Olympics R64,W vs Haase,1.13,1.50,47.5,2.9,9.1%,57.6%,10.3%,75.9%,44.4%,45.2%
2024 Mallorca F,L vs Tabilo,0.82,0.68,54.9,2.2,3.7%,55.6%,4.0%,72.0%,25.0%,35.5%
2024 Barcelona R32,L vs Tsitsipas,0.81,0.76,56.8,2.3,8.8%,58.8%,3.2%,54.8%,43.2%,37.1%
2023 Sofia QF,L vs Mannarino,1.00,0.84,75.3,15.3,10.7%,50.0%,1.9%,63.5%,42.9%,30.0%
2023 Shanghai R64,L vs Paul,0.81,0.31,28.1,2.1,0.0%,60.0%,0.0%,34.5%,26.3%,12.5%
2023 Astana QF,W vs Thiem,0.92,1.39,63.5,4.7,6.8%,72.7%,7.9%,76.3%,35.7%,42.3%
2023 US Open R64,L vs Tiafoe,0.79,0.41,22.2,2.2,2.7%,48.6%,12.9%,64.5%,16.2%,29.4%
2023 US Open R128,W vs Borges,1.13,1.17,49.0,2.9,10.7%,68.0%,15.3%,58.3%,32.4%,44.1%
2023 Bastad QF,L vs Ruud,0.92,0.62,43.9,2.2,2.9%,61.8%,3.2%,54.8%,22.9%,34.5%
2023 Salzburg CH F,W vs Neumayer,1.24,2.14,34.6,2.0,18.5%,74.1%,19.2%,76.9%,40.7%,44.0%
2023 Wimbledon R128,L vs Lehecka,0.85,0.63,31.1,2.4,3.7%,55.6%,10.6%,72.3%,23.9%,30.2%
2023 Roland Garros Q2,W vs Choinski,1.09,1.45,44.0,4.4,13.9%,75.0%,13.3%,56.7%,39.0%,50.0%
2023 Estoril R32,L vs Thiem,0.88,0.79,53.7,8.3,2.2%,54.3%,2.2%,62.2%,34.1%,41.0%
2022 Kitzbuhel R16,L vs Thiem,0.92,0.79,61.2,4.1,2.6%,51.3%,5.6%,58.3%,34.1%,43.9%
2019 Ortisei CH F,L vs Sinner,1.04,0.58,48.8,2.2,11.1%,61.1%,8.8%,47.1%,24.0%,27.3%
2019 Augsburg CH R32,W vs Zopp,1.14,1.68,49.0,2.4,-,55.2%,-,84.6%,57.1%,33.3%
2019 Kitzbuhel R32,W vs Miedler,1.09,1.42,56.4,2.5,-,77.5%,-,70.3%,30.2%,37.5%
2025 (1 matches),,0.73,0.48,33.4,2.0,3.7%,59.3%,3.8%,69.2%,24.1%,23.1%
2024 (5 matches),,0.93,0.81,45.5,2.7,8.0%,59.0%,7.6%,58.7%,32.3%,39.5%
2023 (10 matches),,0.98,0.89,47.3,3.1,7.3%,61.5%,8.7%,62.3%,32.2%,37.5%
2022 (1 matches),,0.92,0.79,61.2,4.1,2.6%,51.3%,5.6%,58.3%,34.1%,43.9%
2019 (28 matches),,1.01,1.10,56.1,2.8,9.9%,67.6%,8.4%,64.1%,40.3%,33.6%
Career (89 matches),,1.01,0.95,53.0,2.8,8.6%,62.4%,7.9%,62.3%,35.8%,35.2%
