Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2025 Geneva SF,L vs Hurkacz,2.0%,0.0%,9.3%,70.0%,16.0%,5.9%,0.0%,10.8%,33.3%,0.8%,0.0%,92,113
2024 Olympics R32,L vs Medvedev,11.1%,66.7%,17.3%,61.1%,20.5%,30.0%,16.7%,10.4%,21.4%,4.6%,0.0%,41,0
2024 Olympics R64,W vs Haase,0.0%,-,8.5%,90.9%,35.6%,27.8%,33.3%,26.7%,50.0%,1.5%,50.0%,241,155
2024 Mallorca F,L vs Tabilo,2.0%,100.0%,12.2%,71.4%,18.8%,22.7%,20.0%,20.5%,30.8%,0.0%,-,134,83
2024 Barcelona R32,L vs Tsitsipas,0.0%,-,8.8%,58.3%,14.1%,15.4%,0.0%,1.7%,0.0%,0.4%,100.0%,20,-6
2023 Sofia QF,L vs Mannarino,0.0%,-,6.1%,53.8%,8.6%,18.4%,0.0%,12.2%,26.9%,0.7%,33.3%,21,15
2023 Shanghai R64,L vs Paul,0.0%,-,7.4%,14.3%,17.7%,15.8%,0.0%,4.7%,20.0%,2.0%,0.0%,47,-8
2023 Astana QF,W vs Thiem,0.0%,-,6.3%,91.7%,12.8%,13.6%,20.0%,9.8%,33.3%,0.3%,0.0%,-24,-10
2023 Bastad QF,L vs Ruud,6.3%,75.0%,10.9%,78.6%,9.2%,0.0%,0.0%,7.8%,46.2%,0.4%,100.0%,36,14
2023 Salzburg CH F,W vs Neumayer,2.3%,100.0%,3.8%,75.0%,19.6%,12.5%,0.0%,20.5%,60.0%,1.4%,50.0%,71,100
2023 Roland Garros Q2,W vs Choinski,0.0%,-,2.8%,100.0%,13.3%,4.3%,0.0%,7.6%,28.6%,2.3%,62.5%,5,22
2023 Estoril R32,L vs Thiem,0.0%,-,4.0%,71.4%,12.4%,6.5%,9.1%,9.5%,30.8%,1.9%,20.0%,-2,-13
2022 Kitzbuhel R16,L vs Thiem,0.0%,-,6.9%,54.5%,9.4%,7.1%,0.0%,6.0%,15.4%,0.0%,-,-41,-30
2019 Ortisei CH F,L vs Sinner,9.5%,66.7%,5.1%,66.7%,14.3%,14.3%,0.0%,14.8%,0.0%,0.0%,-,170,138
2017 Kitzbuhel R16,W vs Cuevas,0.0%,-,1.1%,100.0%,7.4%,9.1%,0.0%,6.0%,37.5%,0.0%,-,-38,-20
Career (15 matches),,2.0%,68.4%,6.9%,68.3%,13.9%,13.6%,7.0%,9.6%,30.7%,1.0%,31.4%,30,23
