Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2025 Geneva SF,L vs Hurkacz,15,27,0.6,13.9%,25.0%,13,25,0.5,13.4%,25.8%,9.3%,4.1%,0.8,9.3%,11.1%
2024 US Open R128,L vs Cerundolo,35,70,0.5,14.6%,29.3%,23,61,0.4,11.4%,30.2%,8.4%,2.5%,0.4,7.1%,17.2%
2024 Paris Olympics R32,L vs Medvedev,21,21,1.0,20.2%,20.2%,17,21,0.8,18.3%,22.6%,11.8%,6.5%,2.7,15.4%,5.8%
2024 Paris Olympics R64,W vs Haase,34,20,1.7,26.4%,15.5%,28,19,1.5,25.0%,17.0%,16.1%,8.9%,1.2,11.6%,10.1%
2024 Wimbledon R128,L vs Vukic,72,74,1.0,19.2%,19.7%,48,65,0.7,15.0%,20.2%,8.1%,6.2%,0.9,11.5%,13.1%
2024 Mallorca F,L vs Tabilo,23,24,1.0,20.0%,20.9%,21,22,1.0,20.0%,21.0%,9.5%,7.6%,1.5,10.4%,7.0%
2024 Barcelona R32,L vs Tsitsipas,23,33,0.7,16.8%,24.1%,19,31,0.6,15.1%,24.6%,11.9%,0.8%,0.6,12.4%,21.2%
2023 Sofia QF,L vs Mannarino,36,52,0.7,16.8%,24.3%,29,48,0.6,14.9%,24.6%,4.6%,7.2%,0.9,10.7%,11.7%
2023 Shanghai Masters R64,L vs Paul,23,28,0.8,24.5%,29.8%,23,26,0.9,26.4%,29.9%,10.3%,2.3%,3.3,24.5%,7.4%
2023 Astana QF,W vs Thiem,35,38,0.9,18.4%,20.0%,29,36,0.8,16.6%,20.6%,10.3%,5.1%,0.5,10.5%,21.1%
2023 US Open R64,L vs Tiafoe,19,21,0.9,13.7%,15.1%,14,18,0.8,11.2%,14.4%,6.4%,4.8%,1.5,15.1%,10.1%
2023 US Open R128,W vs Borges,65,38,1.7,22.5%,13.1%,46,33,1.4,18.5%,13.3%,7.6%,6.8%,0.9,11.1%,12.1%
2023 Bastad QF,L vs Ruud,22,34,0.6,17.1%,26.4%,20,33,0.6,16.4%,27.0%,7.4%,9.0%,0.9,14.0%,14.7%
2023 Salzburg CH F,W vs Neumayer,32,17,1.9,30.5%,16.2%,22,14,1.6,24.7%,15.7%,12.4%,11.2%,0.5,7.6%,15.2%
2023 Wimbledon R128,L vs Lehecka,27,28,1.0,14.2%,14.7%,20,21,1.0,11.8%,12.4%,7.1%,4.1%,1.0,12.1%,12.1%
2023 Roland Garros Q2,W vs Choinski,36,39,0.9,25.2%,27.3%,27,36,0.8,21.6%,28.8%,9.6%,11.2%,0.2,4.2%,17.5%
2023 Estoril R32,L vs Thiem,24,35,0.7,13.8%,20.1%,22,31,0.7,14.0%,19.7%,9.6%,3.8%,0.5,11.5%,24.1%
2022 Kitzbuhel R16,L vs Thiem,16,38,0.4,10.0%,23.8%,13,33,0.4,8.8%,22.4%,5.4%,2.0%,0.4,10.6%,24.4%
2019 Ortisei CH F,L vs Sinner,14,26,0.5,12.0%,22.2%,7,22,0.3,7.1%,22.4%,2.0%,4.1%,1.4,16.2%,12.0%
2017 Kitzbuhel R16,W vs Cuevas,23,32,0.7,12.6%,17.6%,15,30,0.5,9.7%,19.4%,3.2%,5.2%,0.6,15.9%,25.3%
Career (23 matches),,688,763,0.9,17.5%,19.4%,529,677,0.8,15.2%,19.5%,8.4%,5.2%,0.8,12.2%,14.7%
