Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2013,939,14,,,,,,,,,,,,
2008,295,84,216,1434,213,1397,197,1427,196,1341,,,,
2007,130,271,172,1532,176,1464,143,1517,169,1403,,,,
2006,137,206,184,1503,183,1442,142,1507,179,1362,,,,
2005,150,237,,,,,,,,,,,,
2004,232,132,196,1495,198,1432,172,1479,181,1383,,,,
2003,188,153,,,,,,,,,,,,
2002,230,126,186,1511,190,1432,174,1470,173,1401,,,,
2001,163,187,160,1548,174,1456,145,1507,151,1445,,,,
2000,161,161,,,,,,,,,,,,
1999,246,79,,,,,,,,,,,,
1998,213,99,,,,,,,,,,,,
1997,403,30,,,,,,,,,,,,
1996,525,15,,,,,,,,,,,,
1995,348,2,,,,,,,,,,,,
1994,438,1,,,,,,,,,,,,
