Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,82,42,40,51.2%,86-84,50.6%,797-804,49.8%,17-20,45.9%,0,,,,,,,,,,,
Clay,22,8,14,36.4%,16-28,36.4%,180-213,45.8%,3-7,30.0%,0,,,,,,,,,,,
Grass,48,26,22,54.2%,61-61,50.0%,601-590,50.5%,19-19,50.0%,0,,,,,,,,,,,
Carpet,73,33,40,45.2%,60-70,46.2%,600-622,49.1%,19-27,41.3%,0,,,,,,,,,,,
Grand Slams,41,23,18,56.1%,63-63,50.0%,607-593,50.6%,19-19,50.0%,0,,,,,,,,,,,
Masters,24,14,10,58.3%,25-23,52.1%,220-224,49.5%,6-4,60.0%,0,,,,,,,,,,,
Other Tours,160,72,88,45.0%,135-157,46.2%,1351-1412,48.9%,33-50,39.8%,0,,,,,,,,,,,
Best of 5,45,24,21,53.3%,64-72,47.1%,649-654,49.8%,21-20,51.2%,0,,,,,,,,,,,
Best of 3,180,85,95,47.2%,159-171,48.2%,1529-1575,49.3%,37-53,41.1%,0,,,,,,,,,,,
Finals,6,0,6,0.0%,0-12,0.0%,38-73,34.2%,1-3,25.0%,0,,,,,,,,,,,
Semi-finals,11,6,5,54.5%,10-12,45.5%,96-101,48.7%,4-3,57.1%,0,,,,,,,,,,,
Quarter-finals,27,11,16,40.7%,22-33,40.0%,236-272,46.5%,5-8,38.5%,0,,,,,,,,,,,
vs Righties,178,93,85,52.2%,189-180,51.2%,1760-1729,50.4%,47-63,42.7%,0,,,,,,,,,,,
vs Lefties,47,16,31,34.0%,34-63,35.1%,418-500,45.5%,11-10,52.4%,0,,,,,,,,,,,
vs Top 10,34,4,30,11.8%,9-56,13.8%,239-379,38.7%,2-9,18.2%,0,,,,,,,,,,,
