Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2026 Indian Wells R64,L vs Swiatek,0.0%,-,4.0%,60.0%,6.3%,6.7%,0.0%,10.0%,33.3%,0.5%,100.0%,-97,-54
2024 Wimbledon Q2,L vs Banks,0.0%,-,9.7%,92.3%,20.8%,30.8%,40.0%,16.3%,25.0%,0.6%,0.0%,-37,-5
2024 Charleston R64,L vs Dolehide,1.4%,100.0%,13.0%,65.0%,10.2%,20.5%,0.0%,6.9%,12.5%,0.3%,0.0%,-9,13
2023 ITF Granby R16,W vs Fernandez,0.0%,-,2.9%,100.0%,12.0%,17.6%,7.7%,10.2%,50.0%,0.5%,0.0%,-64,-18
2023 Roland Garros R32,L vs Schmiedlova,0.0%,-,3.8%,50.0%,4.9%,15.0%,5.3%,0.9%,16.7%,1.5%,20.0%,-98,-96
2023 Roland Garros R64,W vs Keys,0.0%,-,5.1%,60.0%,5.5%,10.5%,5.3%,2.5%,0.0%,0.5%,0.0%,-133,-90
2023 Roland Garros R128,W vs Mladenovic,0.0%,-,10.1%,76.9%,10.1%,7.4%,14.3%,7.6%,15.4%,1.5%,25.0%,-110,-58
2023 Roland Garros Q3,L vs Avanesyan,0.0%,-,14.6%,66.7%,3.8%,9.8%,0.0%,3.2%,3.3%,1.6%,25.0%,-150,-149
2023 Roland Garros Q2,W vs Bianca Bulgaru,5.5%,100.0%,16.2%,57.9%,9.5%,15.6%,11.1%,4.5%,0.0%,0.0%,-,-133,-130
2022 Guadalajara R64,L vs Bouchard,0.0%,-,7.0%,62.5%,16.1%,23.5%,0.0%,0.0%,0.0%,0.6%,0.0%,-58,-6
2017 ITF Charleston R32,W vs Rodriguez,0.0%,-,9.5%,58.3%,4.5%,8.5%,0.0%,6.0%,15.4%,1.3%,40.0%,-74,-65
2017 Indian Wells R64,W vs Lucic,0.0%,-,2.4%,40.0%,7.4%,22.7%,0.0%,2.7%,11.1%,0.4%,0.0%,-91,-12
2016 ITF Macon F,W vs Collins,0.0%,-,7.1%,37.5%,5.8%,16.7%,0.0%,1.8%,0.0%,1.2%,25.0%,-135,-104
Last 52 Weeks (1 matches),,0.0%,-,4.0%,60.0%,6.3%,6.7%,0.0%,10.0%,33.3%,0.5%,100.0%,-97,-54
Career (13 matches),,0.5%,100.0%,8.3%,64.7%,7.3%,15.1%,3.8%,4.5%,9.4%,1.0%,23.8%,-104,-75
