Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,24,6,18,25.0%,15-37,28.8%,203-279,42.1%,1-5,16.7%,24,64.0%,21.8%,4.6%,5.7%,55.8%,64.8%,44.4%,55.8%,36.5%,46.3%,0.83
Clay,9,2,7,22.2%,7-15,31.8%,89-112,44.3%,0-1,0.0%,9,54.5%,34.3%,3.1%,4.5%,64.8%,57.6%,41.7%,52.0%,43.7%,48.0%,0.91
Grass,1,0,1,0.0%,1-2,33.3%,10-16,38.5%,0-0,-,1,69.2%,7.7%,6.3%,2.5%,68.4%,63.0%,48.0%,58.2%,31.6%,45.2%,0.76
Grand Slams,10,3,7,30.0%,7-15,31.8%,79-112,41.4%,0-0,-,10,56.0%,28.2%,3.6%,5.2%,61.7%,60.9%,40.5%,53.1%,39.9%,46.6%,0.85
Premiers,11,2,9,18.2%,6-18,25.0%,92-126,42.2%,0-2,0.0%,11,58.7%,26.2%,3.7%,5.1%,58.0%,63.0%,41.6%,54.0%,38.9%,46.6%,0.85
Internationals,5,0,5,0.0%,3-10,23.1%,48-76,38.7%,1-2,33.3%,5,63.3%,14.8%,5.3%,3.7%,59.9%,60.5%,46.9%,55.0%,34.3%,45.2%,0.76
vs Righties,32,7,25,21.9%,20-52,27.8%,283-385,42.4%,1-6,14.3%,32,61.1%,24.7%,3.9%,5.2%,59.3%,62.3%,43.7%,54.7%,38.2%,46.6%,0.84
vs Lefties,2,1,1,50.0%,3-2,60.0%,19-22,46.3%,0-0,-,2,65.0%,28.6%,8.0%,5.8%,50.4%,66.7%,45.6%,56.2%,41.4%,48.9%,0.94
vs Top 10,4,0,4,0.0%,1-8,11.1%,23-53,30.3%,0-1,0.0%,4,50.0%,10.8%,2.6%,5.6%,56.4%,59.1%,40.2%,50.9%,32.6%,41.7%,0.66
