Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2026 Indian Wells R64,L vs Swiatek,44% (4/9),50% (2/4),0/4,56% (5/9),0% (0/5),2/2,0/2,1/2,0/0,1/1
2024 Wimbledon Q2,L vs Banks,36% (4/11),25% (1/4),0/2,30% (3/10),33% (1/3),1/1,0/0,1/1,0/0,0/0
2024 Charleston R64,L vs Dolehide,50% (6/12),100% (6/6),2/4,54% (7/13),14% (1/7),5/6,1/1,0/2,0/0,0/1
2023 US Open R128,L vs Cirstea,44% (4/9),25% (1/4),0/3,50% (4/8),0% (0/4),0/1,0/0,1/2,0/0,1/1
2023 W100 Granby R16,W vs Fernandez,56% (5/9),100% (5/5),1/2,22% (2/9),0% (0/2),4/4,1/1,0/0,1/1,0/0
2023 Roland Garros R32,L vs Schmiedlova,38% (3/8),33% (1/3),0/4,75% (6/8),17% (1/6),0/1,0/0,0/1,0/0,0/1
2023 Roland Garros R64,W vs Keys,64% (9/14),100% (9/9),4/6,71% (10/14),30% (3/10),4/9,2/3,0/1,1/2,0/0
2023 Roland Garros R128,W vs Mladenovic,44% (4/9),100% (4/4),0/1,30% (3/10),67% (2/3),2/3,1/1,0/0,1/1,0/0
2022 Guadalajara 2 R64,L vs Bouchard,18% (2/11),100% (2/2),0/3,40% (4/10),0% (0/4),1/2,0/1,0/1,0/0,0/0
2019 W60 Honolulu HI QF,L vs Dolehide,36% (5/14),40% (2/5),0/4,43% (6/14),17% (1/6),2/2,1/1,1/2,0/0,0/1
2019 W100 Charleston SC R16,L vs Townsend,44% (4/9),50% (2/4),0/4,75% (6/8),17% (1/6),1/2,0/0,0/1,0/0,0/0
2019 W100 Charleston SC R32,W vs Liu,55% (6/11),67% (4/6),2/3,36% (4/11),25% (1/4),2/3,0/0,2/2,0/0,0/0
2019 W80 Charlottesville VA R32,L vs Osuigwe,25% (2/8),50% (1/2),0/3,75% (6/8),17% (1/6),1/1,0/0,0/2,0/0,0/1
2019 W25 Pelham AL Q1,W vs Kissell,56% (5/9),60% (3/5),2/4,70% (7/10),14% (1/7),2/3,0/0,0/2,0/0,0/1
2019 Indian Wells 125K R64,L vs Muhammad,18% (2/11),100% (2/2),0/4,45% (5/11),20% (1/5),1/2,0/0,0/0,0/0,0/0
2019 W25 Rancho Santa Fe CA R32,W vs Guillermo,75% (6/8),67% (4/6),0/0,0% (0/8),- (0/0),3/3,1/1,0/0,1/1,0/0
2019 W25 Surprise AZ R16,L vs Kiick,38% (3/8),67% (2/3),2/5,89% (8/9),25% (2/8),1/2,0/0,1/2,0/0,0/1
2019 Newport Beach R32,L vs Bouchard,38% (5/13),80% (4/5),1/5,50% (6/12),17% (1/6),2/4,1/1,0/0,0/0,0/0
2019 Newport Beach R64,W vs Lao,100% (7/7),86% (6/7),0/1,29% (2/7),50% (1/2),3/4,0/0,0/0,0/0,0/0
2018 Indian Wells R128,L vs Wickmayer,22% (2/9),50% (1/2),0/4,50% (4/8),0% (0/4),0/1,0/0,0/0,0/0,0/0
2026 (1 matches),,44.4%,50.0%,0.0%,55.6%,0.0%,100.0%,0.0%,50.0%,-,100.0%
2024 (2 matches),,43.5%,70.0%,33.3%,43.5%,20.0%,85.7%,100.0%,33.3%,-,0.0%
2023 (5 matches),,51.0%,80.0%,31.3%,51.0%,24.0%,55.6%,80.0%,25.0%,75.0%,50.0%
2022 (1 matches),,18.2%,100.0%,0.0%,40.0%,0.0%,50.0%,0.0%,0.0%,-,-
2019 (10 matches),,45.9%,66.7%,21.2%,51.0%,20.0%,69.2%,100.0%,36.4%,100.0%,0.0%
Career (86 matches),,50.9%,75.8%,33.4%,50.0%,25.5%,66.7%,63.2%,51.3%,68.9%,33.3%
