Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2026 Indian Wells R64,L vs Swiatek,27.3%,29.1%,28.2%,37.5%,40.6%,30.0%,38.5%,26.3%,0.0%,13.6%,13.6%,26.3%,9.1%,27.3%,0.0%,-51
2024 Wimbledon Q2,L vs Banks,32.8%,51.6%,51.2%,41.7%,69.4%,71.4%,66.7%,61.1%,-,23.1%,30.8%,30.0%,0.0%,47.1%,50.0%,-18
2024 Charleston R64,L vs Dolehide,18.2%,24.7%,46.6%,22.4%,32.7%,44.7%,22.7%,59.3%,80.0%,13.0%,13.0%,50.0%,11.1%,35.7%,66.7%,5
2023 ITF Granby R16,W vs Fernandez,34.7%,38.8%,48.4%,43.8%,50.0%,38.9%,16.7%,45.0%,100.0%,18.8%,18.8%,61.5%,25.0%,25.0%,-,-33
2023 Roland Garros R32,L vs Schmiedlova,14.0%,20.0%,33.3%,12.9%,22.6%,33.3%,38.5%,50.0%,33.3%,16.7%,16.7%,33.3%,8.3%,66.7%,100.0%,-40
2023 Roland Garros R64,W vs Keys,26.5%,28.4%,36.1%,30.0%,33.3%,45.2%,0.0%,61.3%,60.0%,23.1%,23.1%,23.3%,4.8%,94.4%,100.0%,-18
2023 Roland Garros R128,W vs Mladenovic,27.4%,34.2%,54.2%,32.1%,41.5%,58.3%,17.4%,40.0%,50.0%,20.0%,20.0%,41.7%,16.7%,77.8%,100.0%,54
2023 Roland Garros Q3,L vs Avanesyan,9.3%,13.1%,52.1%,12.7%,19.0%,58.2%,13.3%,39.4%,66.7%,4.7%,4.7%,43.9%,0.0%,15.4%,0.0%,-76
2023 Roland Garros Q2,W vs Bianca Bulgaru,12.3%,21.1%,49.0%,18.2%,30.3%,55.6%,11.8%,56.3%,50.0%,4.3%,8.7%,40.9%,11.1%,78.6%,100.0%,-71
2022 Guadalajara R64,L vs Bouchard,29.4%,41.2%,42.4%,39.4%,51.5%,45.0%,40.0%,50.0%,66.7%,13.3%,26.7%,38.5%,0.0%,62.5%,-,9
2017 ITF Charleston R32,W vs Rodriguez,13.2%,17.6%,58.9%,19.6%,23.9%,48.6%,54.5%,50.0%,0.0%,0.0%,5.3%,78.9%,0.0%,57.1%,0.0%,-119
2017 Indian Wells R64,W vs Lucic,39.2%,42.2%,49.1%,48.1%,51.9%,51.9%,19.2%,65.4%,100.0%,34.9%,37.2%,46.4%,0.0%,75.0%,100.0%,22
2016 ITF Macon F,W vs Collins,20.4%,26.5%,55.6%,30.0%,40.0%,52.4%,38.5%,47.1%,0.0%,6.3%,6.3%,60.0%,0.0%,42.9%,-,-58
Last 52 Weeks (1 matches),,27.3%,29.1%,28.2%,37.5%,40.6%,30.0%,38.5%,26.3%,0.0%,13.6%,13.6%,26.3%,9.1%,27.3%,0.0%,-51
Career (13 matches),,23.5%,29.4%,47.0%,29.3%,37.8%,49.6%,26.5%,50.2%,53.7%,16.0%,18.2%,43.1%,5.6%,54.0%,59.1%,13
