Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2025 ITF Selva Gardena F,L vs Kubka,0.0%,-,4.6%,100.0%,24.4%,25.0%,50.0%,20.0%,33.3%,1.7%,50.0%,105,107
2025 ITF Selva Gardena SF,W vs Naef,0.0%,-,5.5%,100.0%,41.7%,50.0%,50.0%,5.9%,0.0%,0.0%,-,134,156
2025 ITF Selva Gardena QF,W vs Vrancken Peeters,0.0%,-,2.2%,50.0%,27.8%,0.0%,50.0%,13.6%,0.0%,0.0%,-,97,178
2025 ITF Petange R32,W vs Dodin,0.0%,-,3.0%,100.0%,19.0%,41.7%,25.0%,9.7%,0.0%,0.0%,-,34,115
2025 Mallorca QF,L vs Radivojevic,0.0%,-,5.2%,66.7%,8.9%,20.7%,4.5%,8.4%,9.1%,0.8%,0.0%,-6,-4
2023 Hamburg F,L vs Rus,0.0%,-,9.0%,66.7%,7.0%,6.7%,8.3%,5.8%,28.6%,2.7%,12.5%,25,10
2023 Roland Garros Q2,L vs Pigossi,0.0%,-,4.5%,66.7%,17.4%,35.7%,16.7%,6.1%,15.4%,0.3%,0.0%,36,19
2023 Roland Garros Q1,L vs Lene,0.0%,-,20.3%,62.7%,11.1%,14.3%,9.1%,11.8%,33.3%,1.2%,0.0%,63,32
Last 52 Weeks (5 matches),,0.0%,-,4.2%,86.4%,19.9%,27.7%,17.6%,10.7%,8.7%,0.6%,25.0%,55,91
Career (8 matches),,0.0%,-,8.7%,69.2%,14.3%,22.1%,13.2%,8.6%,17.3%,1.0%,10.0%,50,50
