Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2025 ITF Selva Gardena F,L vs Kubka,55.7%,51.3%,5.7%,3/1,2.14,13.9%,55.8%,44.8%,1.9%,2.42,18.2%,62.5%,70.0%,18.8%,1.69,7.1%
2025 ITF Selva Gardena SF,W vs Naef,70.0%,71.4%,4.0%,2/0,2.19,13.6%,65.5%,52.6%,3.4%,2.05,20.0%,94.1%,93.8%,5.9%,2.49,0.0%
2025 ITF Selva Gardena QF,W vs Vrancken Peeters,56.9%,65.5%,3.9%,0/2,3.09,14.3%,67.9%,68.4%,0.0%,2.97,28.6%,55.6%,60.0%,11.1%,3.21,0.0%
2025 ITF Petange R32,W vs Dodin,66.7%,58.8%,9.8%,4/1,2.76,0.0%,69.0%,50.0%,6.9%,2.94,0.0%,87.5%,71.4%,18.8%,2.66,0.0%
2025 Mallorca QF,L vs Radivojevic,75.5%,47.5%,5.7%,2/1,2.72,2.0%,71.9%,30.4%,6.3%,2.82,0.0%,85.0%,70.6%,5.0%,2.53,5.6%
2023 Hamburg F,L vs Rus,76.4%,45.5%,2.8%,1/1,2.09,2.0%,71.1%,53.1%,4.4%,2.02,4.2%,92.0%,34.8%,0.0%,2.15,0.0%
2023 Roland Garros Q2,L vs Pigossi,79.0%,51.0%,1.6%,1/0,2.42,0.0%,80.4%,46.3%,2.0%,2.37,0.0%,72.7%,75.0%,0.0%,2.48,0.0%
2023 Roland Garros Q1,L vs Lene,79.7%,51.1%,0.8%,1/0,2.32,59.0%,81.1%,51.7%,1.4%,2.26,82.8%,91.9%,50.0%,0.0%,2.41,29.8%
Last 52 Weeks (5 matches),,64.4%,58.2%,5.8%,68.8%,2.54,7.6%,64.7%,48.2%,3.5%,2.60,10.7%,77.0%,74.6%,11.5%,2.44,3.3%
Career (8 matches),,71.2%,53.6%,3.8%,70.0%,2.39,20.8%,71.5%,49.4%,2.9%,2.39,29.3%,82.5%,61.4%,6.3%,2.39,10.1%
