Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2025 ITF Selva Gardena F,L vs Kubka,30.0%,43.3%,50.0%,40.5%,56.8%,50.0%,36.8%,44.4%,100.0%,17.6%,29.4%,50.0%,16.7%,36.4%,0.0%,31
2025 ITF Selva Gardena SF,W vs Naef,39.0%,63.4%,59.1%,44.4%,77.8%,73.3%,46.7%,50.0%,100.0%,36.4%,45.5%,28.6%,33.3%,37.5%,-,154
2025 ITF Selva Gardena QF,W vs Vrancken Peeters,60.0%,70.0%,57.1%,65.0%,75.0%,71.4%,50.0%,50.0%,-,61.1%,72.2%,42.9%,22.2%,55.6%,-,17
2025 ITF Petange R32,W vs Dodin,46.0%,52.0%,47.8%,63.6%,68.2%,62.5%,25.0%,35.7%,-,37.5%,45.8%,40.0%,18.2%,61.5%,100.0%,30
2025 Mallorca QF,L vs Radivojevic,12.7%,15.9%,40.0%,13.5%,16.2%,43.8%,16.7%,36.8%,50.0%,14.3%,19.0%,33.3%,27.3%,40.0%,40.0%,14
2023 Hamburg F,L vs Rus,11.3%,14.5%,46.0%,13.8%,20.7%,52.0%,64.3%,26.7%,0.0%,10.7%,10.7%,40.0%,30.0%,11.1%,0.0%,-14
2023 Roland Garros Q2,L vs Pigossi,10.0%,20.0%,49.1%,17.9%,30.8%,56.3%,35.0%,73.7%,66.7%,0.0%,8.0%,40.0%,30.0%,73.3%,75.0%,-119
2023 Roland Garros Q1,L vs Lene,10.5%,21.1%,52.3%,12.5%,26.4%,57.1%,17.1%,51.4%,50.0%,9.4%,17.0%,45.8%,3.7%,53.8%,57.1%,-21
Last 52 Weeks (5 matches),,35.0%,45.7%,48.3%,41.3%,54.5%,54.8%,33.8%,42.7%,66.7%,33.0%,41.8%,39.3%,22.5%,47.1%,37.5%,104
Career (8 matches),,22.5%,32.2%,49.3%,27.9%,40.6%,55.4%,32.8%,47.3%,54.2%,19.3%,26.4%,41.5%,18.4%,46.4%,43.5%,69
