Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2024 Rome R128,L vs Stefanini,8.1%,12.9%,39.2%,2.8%,11.1%,51.4%,41.2%,26.3%,0.0%,20.0%,20.0%,12.5%,0.0%,9.1%,0.0%,58
Career (1 matches),,8.1%,12.9%,39.2%,2.8%,11.1%,51.4%,41.2%,26.3%,0.0%,20.0%,20.0%,12.5%,0.0%,9.1%,0.0%,58
