Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2004,6,1,5,16.7%,4-10,28.6%,50-74,40.3%,1-0,100.0%,1,-,-,0.0%,4.7%,57.6%,57.1%,47.2%,52.9%,41.7%,47.3%,0.89,R16 (Memphis)
2003,8,1,7,12.5%,7-13,35.0%,81-102,44.3%,0-1,0.0%,0,,,,,,,,,,,,R16 (Bogota)
2002,29,13,16,44.8%,31-33,48.4%,297-312,48.8%,3-3,50.0%,0,,,,,,,,,,,,W (Bol)
2001,33,12,21,36.4%,34-43,44.2%,324-365,47.0%,4-4,50.0%,0,,,,,,,,,,,,SF (Palermo)
2000,28,12,16,42.9%,26-38,40.6%,268-321,45.5%,3-1,75.0%,0,,,,,,,,,,,,QF (Madrid)
1999,30,16,14,53.3%,35-29,54.7%,287-283,50.4%,3-5,37.5%,0,,,,,,,,,,,,W (Kuala Lumpur)
1998,25,10,15,40.0%,24-30,44.4%,228-256,47.1%,2-1,66.7%,0,,,,,,,,,,,,R16 (Prague)
1997,39,17,22,43.6%,34-48,41.5%,327-388,45.7%,3-3,50.0%,0,,,,,,,,,,,,SF (Rosmalen)
1996,38,17,21,44.7%,38-46,45.2%,364-390,48.3%,4-2,66.7%,0,,,,,,,,,,,,SF (Essen)
1995,45,23,22,51.1%,48-49,49.5%,412-438,48.5%,8-4,66.7%,0,,,,,,,,,,,,F (Houston)
1994,33,15,18,45.5%,36-39,48.0%,331-344,49.0%,1-3,25.0%,0,,,,,,,,,,,,F (Prague)
1993,13,5,8,38.5%,11-19,36.7%,110-145,43.1%,0-1,0.0%,0,,,,,,,,,,,,QF (Schenectady)
1992,1,0,1,0.0%,0-2,0.0%,7-13,35.0%,0-0,-,0,,,,,,,,,,,,R32 (Kuala Lumpur)
Career,328,142,186,43.3%,328-399,45.1%,3086-3431,47.4%,32-28,53.3%,1,-,-,0.0%,4.7%,57.6%,57.1%,47.2%,52.9%,41.7%,47.3%,0.89,
