Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,13,Hard,31,18,13,58.1%,4,1,3,25.0%,1990,2005,R16,5,1.20,2.3%,4.6%,66.4%,62.4%,42.2%,55.6%,53.1%,47.4%,54.0%
Roland Garros,16,Clay,39,23,16,59.0%,8,3,5,37.5%,1989,2005,R16,10,1.07,2.1%,4.3%,62.8%,60.4%,45.0%,54.7%,48.6%,57.0%,41.6%
Wimbledon,13,Grass,34,21,13,61.8%,7,3,4,42.9%,1990,2005,R16,8,1.22,5.3%,3.1%,68.1%,68.1%,46.9%,61.3%,47.2%,52.5%,40.0%
US Open,15,Hard,35,20,15,57.1%,4,4,0,100.0%,1989,2005,QF,3,0.87,3.3%,3.3%,62.0%,58.3%,44.4%,53.1%,40.7%,53.3%,33.3%
Olympics,2,,5,3,2,60.0%,0,0,0,-,1992,2004,R16,0,,,,,,,,,,
Fed Cup,9,,26,18,8,69.2%,5,2,3,40.0%,1991,2005,,0,,,,,,,,,,
Zurich,10,Hard,22,13,9,59.1%,5,3,2,60.0%,1992,2005,W,0,,,,,,,,,,
Tokyo,9,Carpet,27,18,9,66.7%,5,3,2,60.0%,1995,2004,F,0,,,,,,,,,,
Moscow,9,Carpet,25,19,6,76.0%,4,2,2,50.0%,1990,2005,W,1,0.85,0.0%,2.5%,67.9%,58.2%,42.3%,53.1%,40.0%,50.0%,44.4%
Leipzig,9,Carpet,23,14,9,60.9%,0,0,0,-,1992,2003,F,0,,,,,,,,,,
Berlin,9,Clay,20,11,9,55.0%,3,2,1,66.7%,1990,2005,QF,0,,,,,,,,,,
Rome,8,Clay,13,5,8,38.5%,5,1,4,20.0%,1991,2005,QF,0,,,,,,,,,,
