Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2005,42,21,21,50.0%,49-46,51.6%,452-429,51.3%,5-5,50.0%,11,-,-,3.2%,3.5%,65.7%,62.6%,45.3%,56.7%,47.3%,51.9%,1.09,QF (2x)
2004,53,28,25,52.8%,65-60,52.0%,599-566,51.4%,3-6,33.3%,10,-,-,2.6%,4.1%,65.2%,61.7%,41.1%,54.5%,47.1%,50.9%,1.03,F (Tokyo)
2003,51,30,21,58.8%,71-54,56.8%,632-540,53.9%,3-6,33.3%,7,-,-,3.2%,3.9%,64.1%,63.4%,48.5%,58.1%,47.8%,52.6%,1.14,W (Birmingham)
2002,63,38,25,60.3%,85-61,58.2%,721-649,52.6%,7-5,58.3%,0,,,,,,,,,,,,W (Moscow)
2001,59,35,24,59.3%,78-61,56.1%,674-622,52.0%,6-5,54.5%,0,,,,,,,,,,,,W (Budapest)
2000,50,25,25,50.0%,58-55,51.3%,555-513,52.0%,6-9,40.0%,0,,,,,,,,,,,,F (Luxembourg)
1999,20,12,8,60.0%,26-19,57.8%,213-163,56.6%,4-1,80.0%,0,,,,,,,,,,,,W (Pattaya)
1998,15,5,10,33.3%,11-22,33.3%,119-158,43.0%,1-2,33.3%,0,,,,,,,,,,,,QF (Sydney)
1997,43,21,22,48.8%,48-42,53.3%,414-387,51.7%,1-6,14.3%,0,,,,,,,,,,,,SF (Hanover)
1996,36,20,16,55.6%,45-31,59.2%,375-318,54.1%,2-4,33.3%,0,,,,,,,,,,,,F (Madrid)
1995,51,38,13,74.5%,68-33,67.3%,497-388,56.2%,5-3,62.5%,0,,,,,,,,,,,,W (3x)
1994,46,33,13,71.7%,70-23,75.3%,509-335,60.3%,3-8,27.3%,0,,,,,,,,,,,,W (2x)
1993,54,38,16,70.4%,71-34,67.6%,536-379,58.6%,7-4,63.6%,0,,,,,,,,,,,,F (Brisbane)
1992,42,28,14,66.7%,56-31,64.4%,427-332,56.3%,5-1,83.3%,0,,,,,,,,,,,,W (San Marino)
1991,37,21,16,56.8%,47-36,56.6%,403-360,52.8%,4-2,66.7%,0,,,,,,,,,,,,F (Bol Island)
1990,24,13,11,54.2%,27-23,54.0%,224-217,50.8%,0-2,0.0%,0,,,,,,,,,,,,QF (Wellington)
1989,4,1,3,25.0%,3-7,30.0%,37-52,41.6%,0-0,-,0,,,,,,,,,,,,R16 (Brussels)
Career,690,407,283,59.0%,878-638,57.9%,7387-6408,53.5%,62-69,47.3%,28,-,-,3.0%,3.8%,65.1%,62.4%,44.4%,56.2%,47.4%,51.7%,1.08,
