Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,252,134,118,53.2%,303-261,53.7%,2712-2503,52.0%,20-26,43.5%,8,-,-,2.7%,4.1%,64.6%,60.8%,43.2%,54.5%,48.0%,51.2%,1.06
Clay,199,120,79,60.3%,255-180,58.6%,2110-1824,53.6%,20-21,48.8%,11,-,-,2.2%,4.2%,63.5%,60.6%,44.2%,54.6%,47.7%,51.2%,1.05
Grass,66,41,25,62.1%,91-55,62.3%,748-594,55.7%,7-9,43.8%,8,-,-,5.3%,3.1%,68.1%,68.1%,46.9%,61.3%,47.2%,53.8%,1.22
Carpet,171,111,60,64.9%,227-140,61.9%,1798-1471,55.0%,15-13,53.6%,1,-,-,0.0%,2.5%,67.9%,58.2%,42.3%,53.1%,40.0%,46.8%,0.85
Grand Slams,132,78,54,59.1%,174-124,58.4%,1456-1283,53.2%,11-12,47.8%,26,-,-,3.1%,3.9%,64.8%,62.6%,44.9%,56.4%,48.0%,52.1%,1.10
Premiers,176,85,91,48.3%,201-213,48.6%,1974-1958,50.2%,19-25,43.2%,2,-,-,1.4%,2.7%,69.2%,60.4%,37.8%,53.4%,38.3%,46.2%,0.82
Internationals,59,38,21,64.4%,85-53,61.6%,695-580,54.5%,5-5,50.0%,0,,,,,,,,,,,
Finals,21,10,11,47.6%,21-24,46.7%,192-217,46.9%,3-0,100.0%,0,,,,,,,,,,,
Semi-finals,39,21,18,53.8%,41-39,51.2%,364-382,48.8%,5-2,71.4%,0,,,,,,,,,,,
Quarter-finals,85,39,46,45.9%,86-95,47.5%,817-830,49.6%,7-14,33.3%,0,,,,,,,,,,,
vs Righties,504,280,224,55.6%,617-494,55.5%,5356-4818,52.6%,47-56,45.6%,23,-,-,2.7%,4.1%,65.1%,60.9%,43.0%,54.6%,46.7%,50.6%,1.03
vs Lefties,59,30,29,50.8%,63-68,48.1%,600-606,49.8%,4-5,44.4%,4,-,-,4.0%,2.0%,65.3%,70.5%,52.9%,64.4%,52.9%,59.0%,1.48
vs Top 10,112,27,85,24.1%,63-174,26.6%,857-1261,40.5%,5-10,33.3%,3,-,-,1.2%,6.0%,57.5%,54.2%,38.0%,47.3%,40.4%,43.7%,0.77
