Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,255,131,124,51.4%,341-338,50.2%,3362-3405,49.7%,71-60,54.2%,240,81.1%,18.0%,7.8%,5.6%,56.1%,73.9%,51.4%,64.0%,35.7%,50.1%,0.99
Clay,87,33,54,37.9%,91-130,41.2%,1001-1136,46.8%,14-11,56.0%,79,75.2%,17.8%,6.5%,5.6%,55.0%,73.0%,46.9%,61.3%,35.6%,48.7%,0.92
Grass,60,28,32,46.7%,83-90,48.0%,865-863,50.1%,14-21,40.0%,55,82.9%,17.4%,7.8%,6.6%,58.1%,75.9%,48.6%,64.4%,35.5%,50.3%,1.00
Carpet,145,83,62,57.2%,190-151,55.7%,1815-1655,52.3%,40-38,51.3%,132,85.4%,17.8%,9.8%,5.1%,56.5%,77.6%,52.4%,66.6%,35.1%,51.1%,1.05
Grand Slams,73,32,41,43.8%,131-155,45.8%,1360-1446,48.5%,26-23,53.1%,70,79.4%,17.9%,7.1%,5.1%,57.3%,74.7%,47.0%,62.9%,36.8%,50.0%,0.99
Masters,97,44,53,45.4%,103-117,46.8%,1069-1126,48.7%,22-19,53.7%,97,79.0%,17.6%,7.1%,5.8%,55.8%,73.7%,49.1%,62.8%,34.9%,49.2%,0.94
Other Tours,356,186,170,52.2%,429-405,51.4%,4222-4131,50.5%,85-77,52.5%,339,82.8%,17.9%,8.6%,5.7%,56.0%,75.3%,52.3%,65.2%,35.3%,50.4%,1.01
Best of 5,93,39,54,41.9%,165-202,45.0%,1758-1873,48.4%,32-35,47.8%,75,79.5%,17.1%,7.4%,5.1%,57.4%,74.7%,47.2%,63.0%,36.2%,49.8%,0.98
Best of 3,454,236,218,52.0%,540-507,51.6%,5285-5186,50.5%,107-95,53.0%,431,82.0%,18.0%,8.3%,5.8%,55.9%,74.9%,51.6%,64.7%,35.3%,50.2%,1.00
Finals,12,4,8,33.3%,12-21,36.4%,162-185,46.7%,4-5,44.4%,12,83.5%,9.5%,10.4%,4.3%,57.5%,74.4%,53.3%,65.4%,30.1%,48.2%,0.87
Semi-finals,25,12,13,48.0%,25-31,44.6%,282-298,48.6%,7-8,46.7%,23,84.7%,13.6%,8.3%,5.0%,58.0%,74.6%,52.9%,65.4%,32.5%,49.6%,0.94
Quarter-finals,46,25,21,54.3%,52-50,51.0%,512-510,50.1%,12-12,50.0%,44,80.4%,18.3%,6.8%,5.3%,56.4%,72.4%,53.0%,64.0%,35.0%,49.6%,0.97
vs Righties,450,229,221,50.9%,584-578,50.3%,5810-5784,50.1%,114-111,50.7%,413,81.3%,18.2%,8.1%,5.6%,56.4%,74.9%,50.5%,64.3%,35.6%,50.1%,1.00
vs Lefties,97,46,51,47.4%,121-131,48.0%,1233-1275,49.2%,25-19,56.8%,93,82.1%,16.3%,8.0%,5.6%,55.7%,74.9%,51.0%,64.3%,35.2%,50.0%,0.99
vs Top 10,72,23,49,31.9%,60-117,33.9%,793-976,44.8%,15-18,45.5%,66,77.9%,12.7%,7.4%,5.3%,57.0%,71.9%,48.5%,61.8%,32.3%,47.7%,0.85
