Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2002,2,0,2,0.0%,1-4,20.0%,27-33,45.0%,1-3,25.0%,2,89.3%,3.6%,6.9%,5.9%,56.9%,77.6%,51.1%,66.2%,27.6%,47.8%,0.82,R32 (2x)
2001,33,16,17,48.5%,39-48,44.8%,424-465,47.7%,10-12,45.5%,29,77.7%,15.3%,9.0%,7.1%,52.7%,75.8%,48.6%,62.9%,33.2%,48.3%,0.89,SF (Copenhagen)
2000,21,7,14,33.3%,20-34,37.0%,234-279,45.6%,4-2,66.7%,21,76.2%,13.9%,7.8%,7.6%,53.6%,74.0%,47.4%,61.7%,34.5%,48.3%,0.90,QF (San Marino)
1999,45,18,27,40.0%,47-64,42.3%,523-580,47.4%,7-9,43.8%,40,79.2%,15.7%,7.9%,6.7%,55.2%,73.8%,49.8%,63.1%,33.7%,48.6%,0.91,SF (2x)
1998,65,41,24,63.1%,102-72,58.6%,898-799,52.9%,14-16,46.7%,62,85.9%,18.3%,9.5%,5.3%,57.8%,77.0%,51.1%,66.1%,35.7%,51.1%,1.05,W (2x)
1997,51,20,31,39.2%,62-81,43.4%,686-741,48.1%,14-15,48.3%,46,79.8%,16.8%,8.4%,5.7%,56.8%,73.9%,49.3%,63.3%,34.7%,49.5%,0.94,F (Stockholm)
1996,67,36,31,53.7%,95-85,52.8%,938-919,50.5%,31-22,58.5%,63,82.6%,17.2%,7.4%,5.8%,56.5%,75.2%,51.1%,64.7%,35.5%,50.3%,1.00,W (Nottingham)
1995,67,38,29,56.7%,88-72,55.0%,804-764,51.3%,12-7,63.2%,64,82.3%,19.0%,7.1%,4.3%,59.7%,73.3%,53.0%,65.1%,36.0%,50.6%,1.03,F (3x)
1994,37,18,19,48.6%,47-45,51.1%,468-452,50.9%,8-9,47.1%,35,81.9%,17.3%,7.7%,5.1%,59.7%,76.0%,49.3%,65.3%,35.7%,50.5%,1.03,SF (Seoul)
1993,49,24,25,49.0%,63-62,50.4%,646-631,50.6%,14-14,50.0%,47,81.4%,19.5%,7.9%,4.8%,56.9%,75.8%,50.7%,65.0%,37.1%,50.9%,1.06,F (Marseille)
1992,49,22,27,44.9%,54-69,43.9%,583-639,47.7%,10-7,58.8%,47,79.4%,16.4%,7.9%,5.3%,54.4%,73.4%,50.3%,62.9%,35.4%,49.5%,0.95,SF (2x)
1991,52,30,22,57.7%,77-64,54.6%,726-670,52.0%,14-14,50.0%,50,82.2%,22.8%,8.0%,5.9%,52.5%,74.7%,52.0%,64.0%,37.7%,51.0%,1.05,W (Singapore)
1990,9,5,4,55.6%,10-9,52.6%,86-87,49.7%,0-0,-,0,,,,,,,,,,,,SF (Singapore)
Career,547,275,272,50.3%,705-709,49.9%,7043-7059,49.9%,139-130,51.7%,506,81.5%,17.8%,8.1%,5.6%,56.3%,74.9%,50.6%,64.3%,35.5%,50.1%,0.99,
