Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2026 Miami R32,L vs Andreeva,5.2,4.8,5.4,45.2%,61.8%,20.0%,37.5%,44.8%,13.8%,-1.5,-1.2,4.0,2.7
2026 Australian Open R64,L vs Swiatek,4.2,4.6,3.8,40.4%,37.5%,37.5%,66.7%,45.5%,10.4%,-8.5,-11.5,0.5,0.6
2026 Adelaide R16,L vs Andreeva,4.7,4.8,4.6,34.3%,40.0%,31.3%,50.0%,44.8%,12.1%,-2.5,-3.7,-2.0,-2.5
2025 Montreal R32,L vs Mboko,4.9,5.6,4.3,50.0%,47.1%,50.0%,38.9%,54.1%,8.6%,9.0,6.5,-1.5,-1.3
2025 Prague F,W vs Noskova,4.2,4.3,4.1,50.5%,70.0%,52.0%,40.0%,46.6%,13.9%,7.5,6.6,4.5,3.5
2025 Prague SF,W vs Valentova,4.2,4.1,4.3,62.3%,61.3%,26.1%,44.4%,49.6%,12.8%,-0.5,-0.5,2.5,2.5
2025 Madrid R64,L vs Andreeva,4.8,5.4,4.3,47.8%,38.5%,55.0%,31.6%,37.6%,15.7%,-4.5,-5.4,-1.0,-0.7
2025 Australian Open R128,L vs Andreeva,5.6,5.9,5.3,40.0%,47.1%,36.4%,43.8%,37.9%,9.0%,-5.5,-5.8,-3.5,-2.2
2024 Washington F,L vs Badosa,4.2,4.8,3.5,42.2%,53.7%,43.5%,46.7%,51.2%,7.4%,-6.5,-4.4,-1.0,-0.7
2024 Washington SF,W vs Sabalenka,3.1,3.1,3.1,48.2%,60.0%,50.0%,50.0%,58.5%,6.0%,4.5,4.2,7.0,9.0
2024 Wimbledon R64,L vs Kalinskaya,3.9,3.9,3.9,45.9%,50.0%,26.7%,0.0%,52.6%,14.6%,-7.0,-8.5,2.5,3.7
2024 Roland Garros R32,L vs Swiatek,5.4,5.6,5.1,47.6%,36.7%,33.3%,45.5%,43.2%,15.0%,4.5,4.9,-5.5,-5.0
2024 Bogota F,L vs Osorio,5.1,4.7,5.4,47.8%,48.6%,50.0%,40.0%,51.2%,13.1%,5.0,3.3,-7.5,-5.7
2024 Abu Dhabi R32,L vs Raducanu,5.4,6.3,4.5,29.4%,44.7%,38.9%,50.0%,55.5%,12.4%,-6.5,-5.8,4.0,4.8
2024 Australian Open R128,L vs Noskova,4.1,4.4,3.8,50.0%,46.4%,38.9%,27.3%,45.3%,9.5%,8.5,10.2,-4.5,-4.4
2023 Nanchang F,L vs Siniakova,8.5,8.3,8.7,58.8%,55.8%,46.5%,47.2%,46.8%,13.8%,2.0,0.5,2.0,0.5
2023 Cincinnati QF,L vs Muchova,3.4,3.5,3.4,0.0%,28.6%,0.0%,-,72.2%,20.0%,-1.5,-13.6,-0.5,-12.5
2023 Wimbledon R16,L vs Vondrousova,5.7,6.0,5.4,53.7%,50.0%,46.4%,40.0%,41.6%,10.9%,4.5,3.4,2.5,1.2
2023 Wimbledon R64,W vs Kontaveit,3.5,3.6,3.3,65.5%,47.8%,77.8%,66.7%,56.9%,25.0%,3.0,5.0,5.0,12.5
2023 Roland Garros R128,L vs Wang,4.1,4.5,3.7,52.6%,62.2%,40.0%,18.2%,47.1%,8.6%,13.0,12.7,3.5,3.0
Last 52 Weeks (7 matches),,4.6,4.8,4.4,48.6%,50.9%,40.1%,40.2%,46.2%,12.8%,-0.1,-0.1,1.0,0.9
Career (59 matches),,4.7,4.9,4.5,50.2%,49.4%,45.9%,43.3%,48.3%,11.1%,1.5,1.3,3.3,2.7
