Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2026 Miami R32,L vs Andreeva,0.0%,-,15.1%,86.4%,7.2%,15.4%,0.0%,7.0%,15.8%,0.6%,50.0%,-90,-80
2026 Australian Open R64,L vs Swiatek,0.0%,-,11.3%,50.0%,1.8%,5.3%,0.0%,8.6%,14.3%,2.3%,25.0%,-96,-78
2026 Adelaide R16,L vs Andreeva,15.9%,42.9%,21.7%,40.0%,7.8%,15.8%,0.0%,5.2%,13.3%,3.6%,0.0%,-80,-89
2025 Montreal R32,L vs Mboko,0.0%,-,10.0%,57.1%,8.6%,10.0%,0.0%,5.2%,5.9%,0.4%,0.0%,-122,-108
2025 Prague F,W vs Noskova,0.0%,-,6.2%,80.0%,10.4%,24.1%,0.0%,3.1%,0.0%,1.4%,25.0%,-82,-54
2025 Prague SF,W vs Valentova,1.4%,0.0%,11.4%,73.3%,8.3%,11.5%,0.0%,8.6%,40.0%,0.0%,-,-38,0
2025 Madrid R64,L vs Andreeva,5.2%,100.0%,16.4%,68.2%,4.1%,11.1%,0.0%,6.1%,25.0%,1.5%,0.0%,-141,-122
2025 Australian Open R128,L vs Andreeva,0.0%,-,18.0%,54.5%,6.2%,15.0%,0.0%,5.7%,11.1%,2.1%,16.7%,-101,-83
2024 Washington F,L vs Badosa,0.0%,-,11.0%,80.0%,10.7%,19.0%,0.0%,8.8%,15.8%,2.0%,0.0%,-7,-9
2024 Washington SF,W vs Sabalenka,0.0%,-,4.1%,71.4%,9.8%,11.8%,0.0%,8.3%,50.0%,1.5%,100.0%,-68,-23
2024 Wimbledon R64,L vs Kalinskaya,0.0%,-,8.0%,77.8%,11.3%,13.6%,0.0%,6.0%,16.7%,2.3%,25.0%,-99,-76
2024 Roland Garros R32,L vs Swiatek,0.0%,-,7.5%,87.5%,8.9%,33.3%,0.0%,2.5%,8.3%,1.7%,75.0%,-139,-122
2024 Bogota F,L vs Osorio,0.0%,-,11.4%,52.9%,11.1%,13.5%,0.0%,3.6%,4.5%,1.2%,0.0%,-88,-67
2024 Abu Dhabi R32,L vs Raducanu,0.0%,-,15.7%,68.8%,3.3%,3.1%,0.0%,8.7%,23.1%,0.9%,0.0%,-103,-120
2024 Australian Open R128,L vs Noskova,0.0%,-,7.5%,80.0%,12.7%,20.0%,0.0%,2.7%,6.7%,1.4%,66.7%,-82,-59
2023 Nanchang F,L vs Siniakova,0.0%,-,11.1%,80.8%,4.7%,11.4%,0.0%,3.3%,8.2%,0.9%,0.0%,-138,-136
2023 Cincinnati QF,L vs Muchova,0.0%,-,7.1%,0.0%,14.3%,0.0%,0.0%,0.0%,0.0%,0.0%,-,-86,-73
2023 Wimbledon R16,L vs Vondrousova,0.0%,-,14.9%,61.5%,10.8%,22.6%,0.0%,7.5%,17.9%,1.6%,28.6%,-96,-94
2023 Wimbledon R64,W vs Kontaveit,4.0%,100.0%,10.8%,70.0%,11.4%,12.5%,0.0%,9.7%,20.0%,4.6%,50.0%,34,35
2023 Roland Garros R128,L vs Wang,0.0%,-,4.8%,71.4%,14.3%,24.2%,0.0%,9.0%,46.7%,0.0%,-,-63,-54
Last 52 Weeks (7 matches),,2.5%,54.5%,12.6%,65.2%,7.3%,13.8%,0.0%,6.1%,16.1%,1.2%,14.3%,-95,-77
Career (59 matches),,1.1%,66.7%,9.6%,69.3%,9.1%,15.9%,8.5%,6.9%,20.1%,1.1%,27.1%,-68,-58
