Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2023,3,2,1,66.7%,4-2,66.7%,31-20,60.8%,0-0,-,0,,,,,,,,,,,,QF (W100 Oeiras)
2022,2,1,1,50.0%,3-2,60.0%,27-24,52.9%,1-0,100.0%,2,76.0%,28.0%,0.5%,3.2%,66.5%,60.8%,58.7%,60.1%,42.1%,51.7%,1.05,R16 (Tampico)
2020,3,2,1,66.7%,5-2,71.4%,41-30,57.7%,1-1,50.0%,0,,,,,,,,,,,,QF (W100 Nicholasville KY)
2019,28,20,8,71.4%,41-19,68.3%,313-220,58.7%,3-3,50.0%,7,62.2%,42.5%,2.8%,4.5%,67.4%,62.3%,45.8%,56.9%,46.7%,51.4%,1.08,W (W80 Nur Sultan)
2018,41,27,14,65.9%,60-29,67.4%,481-360,57.2%,5-7,41.7%,2,54.5%,36.4%,1.1%,2.7%,60.0%,55.0%,40.5%,49.2%,44.8%,47.3%,0.88,W (Irapuato $25K)
2017,52,34,18,65.4%,72-43,62.6%,592-465,56.0%,7-4,63.6%,5,57.7%,31.5%,0.9%,3.5%,69.5%,57.0%,43.3%,52.8%,44.1%,48.1%,0.93,W (2x)
2016,51,37,14,72.5%,78-32,70.9%,571-367,60.9%,3-3,50.0%,0,,,,,,,,,,,,W (4x)
2015,32,24,8,75.0%,49-13,79.0%,348-192,64.4%,4-4,50.0%,0,,,,,,,,,,,,W (3x)
2014,19,14,5,73.7%,26-11,70.3%,191-131,59.3%,1-0,100.0%,0,,,,,,,,,,,,W (Hilton Head Island SC 10K)
2013,4,1,3,25.0%,1-4,20.0%,22-27,44.9%,0-1,0.0%,0,,,,,,,,,,,,R16 (Prague 10K)
Career,235,162,73,68.9%,339-157,68.3%,2617-1836,58.8%,25-23,52.1%,16,61.8%,36.2%,1.6%,3.7%,66.7%,59.4%,46.2%,55.0%,45.1%,49.9%,1.00,
