Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2025 Hong Kong R16,L vs Bencic,40% (4/10),- (0/0),0/0,0/0,56% (5/9),4/6,2/3,- (0/0),- (0/0)
2025 Guangzhou R16,L vs Sun,67% (4/6),- (0/0),0/0,0/0,50% (4/8),3/5,2/3,- (0/0),- (0/0)
2025 Cincinnati R128,L vs Stearns,50% (3/6),80% (4/5),0/0,0/0,14% (1/7),1/3,0/1,- (0/0),- (0/0)
2025 Australian Open R64,L vs Kasatkina,40% (2/5),0% (0/7),0/0,0/0,58% (7/12),3/5,2/3,- (0/0),- (0/0)
2024 US Open R16,L vs Badosa,38% (3/8),0% (0/8),0/0,0/0,20% (1/5),1/3,0/1,- (0/0),- (0/0)
2024 US Open R32,W vs Azarenka,43% (9/21),46% (6/13),2/5,1/3,33% (2/6),0/1,0/0,- (0/0),- (0/0)
2024 US Open R64,W vs Parry,44% (8/18),50% (4/8),2/8,1/5,100% (8/8),0/0,0/0,- (0/0),- (0/0)
2024 Wimbledon R64,L vs Keys,29% (4/14),- (0/0),0/0,0/0,71% (10/14),1/3,0/1,- (0/0),- (0/0)
2024 Wimbledon R128,W vs Schmiedlova,79% (11/14),33% (4/12),2/6,1/2,60% (3/5),0/1,0/0,- (0/0),- (0/0)
2024 Nottingham R32,L vs Krueger,63% (5/8),100% (1/1),0/0,0/0,60% (6/10),3/5,2/3,- (0/0),- (0/0)
2024 Austin QF,L vs Yuan,40% (6/15),33% (2/6),0/0,0/0,67% (8/12),3/5,1/2,- (0/0),- (0/0)
2023 US Open R64,L vs Boulter,64% (9/14),27% (3/11),1/1,0/0,44% (4/9),4/6,0/1,- (0/0),- (0/0)
2023 US Open R128,W vs Garcia,80% (8/10),40% (4/10),2/4,1/2,100% (3/3),0/0,0/0,- (0/0),- (0/0)
2021 Wimbledon R128,L vs Siniakova,17% (1/6),0% (0/1),0/0,0/0,29% (2/7),2/4,2/3,- (0/0),- (0/0)
2021 Australian Open R128,L vs Vekic,38% (8/21),50% (5/10),1/1,0/0,59% (10/17),1/3,0/1,- (0/0),- (0/0)
2020 Monterrey QF,L vs Bouzkova,36% (4/11),75% (3/4),0/0,0/0,50% (6/12),1/3,1/2,- (0/0),- (0/0)
2020 Australian Open R128,L vs Riske Amritraj,32% (8/25),54% (7/13),1/1,0/0,50% (6/12),3/5,0/1,50% (3/6),33% (2/6)
2020 Shenzhen R32,W vs Sorribes Tormo,47% (7/15),67% (6/9),2/2,1/1,44% (4/9),1/2,0/0,- (0/0),- (0/0)
2019 Beijing R32,L vs Svitolina,47% (8/17),67% (4/6),0/0,0/0,60% (6/10),1/3,0/1,40% (4/10),20% (2/10)
2019 Seoul SF,L vs Muchova,67% (8/12),50% (2/4),0/0,0/0,70% (7/10),5/7,4/5,50% (3/6),33% (2/6)
2025 (4 matches),,48.1%,33.3%,-,-,47.2%,57.9%,60.0%,-,-
2024 (7 matches),,46.9%,35.4%,31.6%,30.0%,63.3%,44.4%,42.9%,-,-
2023 (2 matches),,70.8%,33.3%,60.0%,50.0%,58.3%,66.7%,0.0%,-,-
2021 (2 matches),,33.3%,45.5%,100.0%,-,50.0%,42.9%,50.0%,-,-
2020 (3 matches),,37.3%,61.5%,100.0%,100.0%,48.5%,50.0%,33.3%,50.0%,33.3%
Career (144 matches),,54.8%,46.5%,55.2%,55.3%,53.5%,47.9%,48.3%,56.3%,49.1%
