Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2025 Hong Kong R16,L vs Bencic,14,22,0.6,14.0%,22.0%,14,19,0.7,15.2%,20.7%,9.8%,3.3%,1.6,23.0%,14.0%
2025 Guangzhou R16,L vs Sun,10,13,0.8,11.0%,14.3%,7,11,0.6,8.2%,12.9%,8.2%,0.0%,2.6,28.6%,11.0%
2025 Cincinnati R128,L vs Stearns,9,17,0.5,7.9%,14.9%,6,12,0.5,6.0%,12.0%,5.0%,1.0%,1.5,21.9%,14.9%
2025 Australian Open R64,L vs Kasatkina,13,37,0.4,12.5%,35.6%,11,35,0.3,11.3%,36.1%,10.3%,1.0%,0.5,7.7%,16.3%
2024 US Open R16,L vs Badosa,16,17,0.9,13.8%,14.7%,13,16,0.8,12.9%,15.8%,9.9%,3.0%,1.0,22.4%,23.3%
2024 US Open R32,W vs Azarenka,21,17,1.2,13.0%,10.6%,19,14,1.4,12.3%,9.1%,5.8%,5.8%,0.8,16.1%,19.9%
2024 US Open R64,W vs Parry,17,22,0.8,13.6%,17.6%,12,18,0.7,10.8%,16.2%,9.9%,0.9%,0.6,16.0%,25.6%
2024 US Open R128,W vs Sakkari,8,5,1.6,16.3%,10.2%,6,4,1.5,13.6%,9.1%,9.1%,2.3%,0.1,4.1%,28.6%
2024 Wimbledon R64,L vs Keys,7,23,0.3,5.8%,19.0%,6,20,0.3,5.5%,18.3%,4.6%,0.9%,2.1,25.6%,12.4%
2024 Wimbledon R128,W vs Schmiedlova,20,20,1.0,13.2%,13.2%,16,16,1.0,11.8%,11.8%,7.4%,4.4%,0.5,13.8%,28.3%
2024 Nottingham R32,L vs Krueger,10,22,0.5,8.9%,19.6%,10,21,0.5,9.3%,19.6%,5.6%,3.7%,0.9,18.8%,20.5%
2024 Austin QF,L vs Yuan,21,28,0.8,13.5%,18.1%,21,25,0.8,14.1%,16.8%,6.7%,6.0%,1.0,16.1%,16.1%
2024 Australian Open R32,L vs Zheng,17,19,0.9,8.5%,9.5%,16,17,0.9,9.0%,9.6%,5.1%,3.9%,1.1,18.1%,17.1%
2023 US Open R64,L vs Boulter,17,32,0.5,9.1%,17.2%,13,26,0.5,7.9%,15.9%,4.9%,3.0%,0.9,19.9%,21.0%
2023 US Open R128,W vs Garcia,7,11,0.6,6.6%,10.4%,5,9,0.6,5.6%,10.1%,4.5%,1.1%,0.5,17.0%,32.1%
2021 Wimbledon R128,L vs Siniakova,6,20,0.3,6.9%,23.0%,6,16,0.4,8.1%,21.6%,6.8%,1.4%,1.4,27.6%,19.5%
2021 Australian Open R128,L vs Vekic,24,35,0.7,11.4%,16.6%,24,35,0.7,12.3%,17.9%,,,0.9,20.4%,22.7%
2020 Monterrey QF,L vs Bouzkova,21,33,0.6,15.7%,24.6%,19,30,0.6,15.4%,24.4%,10.6%,4.9%,1.0,15.7%,15.7%
2020 Australian Open R128,L vs Riske Amritraj,26,35,0.7,11.6%,15.6%,26,35,0.7,12.6%,16.9%,,,1.0,17.9%,17.4%
2020 Shenzhen R32,W vs Sorribes Tormo,31,43,0.7,20.5%,28.5%,28,40,0.7,19.4%,27.8%,13.9%,5.6%,0.4,6.6%,15.9%
Career (40 matches),,692,1078,0.6,12.1%,18.9%,632,957,0.7,12.1%,18.3%,7.6%,2.9%,0.9,18.1%,20.6%
