Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2021 Gdynia R16,L vs Parrizas Diaz,50% (3/6),43% (3/7),0/0,0/0,57% (8/14),0/2,0/1,- (0/0),- (0/0)
2021 Gdynia R32,W vs Tan,54% (7/13),28% (5/18),2/3,1/2,78% (7/9),0/0,0/0,- (0/0),- (0/0)
2019 W15 Moscow F,W vs Koval,50% (7/14),63% (5/8),2/2,1/1,50% (2/4),0/0,0/0,- (0/0),- (0/0)
2019 W25 Olomouc R32,L vs Eikeri,23% (3/13),20% (2/10),0/0,0/0,14% (1/7),0/2,0/1,- (0/0),- (0/0)
2019 W25 Namangan QF,W vs Topalova,53% (8/15),50% (5/10),2/2,1/1,33% (2/6),0/1,0/0,- (0/0),- (0/0)
2019 W25 Namangan R16,W vs Ushijima,58% (7/12),50% (6/12),2/3,1/2,50% (6/12),0/1,0/0,- (0/0),- (0/0)
2019 W25 Andijan R32,L vs Lansere,38% (5/13),43% (9/21),1/4,0/0,52% (13/25),1/3,1/2,56% (5/9),56% (5/9)
2019 W25 Obidos R16,L vs Radanovic,57% (4/7),36% (4/11),0/0,0/0,45% (5/11),1/3,0/1,- (0/0),- (0/0)
2019 W25 Obidos R32,W vs Rueffer,75% (9/12),50% (7/14),2/3,1/2,63% (5/8),1/2,0/0,- (0/0),- (0/0)
2017 Antalya $15K F,L vs Chernyshova,60% (3/5),83% (5/6),0/0,0/0,36% (4/11),1/3,0/1,- (0/0),- (0/0)
2017 Antalya $15K SF,W vs Aksu,63% (5/8),43% (10/23),2/2,1/1,47% (7/15),0/1,0/0,- (0/0),- (0/0)
2017 Antalya $15K QF,W vs Konig,62% (8/13),38% (5/13),2/5,1/2,75% (6/8),0/0,0/0,- (0/0),- (0/0)
2017 Antalya $15K R16,W vs Vanlangendonck,60% (6/10),58% (7/12),2/5,1/3,63% (5/8),0/0,0/0,- (0/0),- (0/0)
2017 Santa Margherita Di Pula $25K SF,L vs Hercog,100% (3/3),60% (3/5),1/2,0/0,22% (2/9),1/3,0/1,- (0/0),- (0/0)
2017 Santa Margherita Di Pula $25K QF,W vs Pella,57% (8/14),67% (4/6),2/2,1/1,50% (2/4),0/0,0/0,- (0/0),- (0/0)
2017 Santa Margherita Di Pula $25K R16,W vs Benoit,75% (6/8),86% (6/7),2/2,1/1,0% (0/1),0/0,0/0,- (0/0),- (0/0)
2017 Santa Margherita Di Pula $25K R32,L vs Pieri,17% (1/6),50% (2/4),0/0,0/0,63% (10/16),4/6,1/2,- (0/0),- (0/0)
2017 Santa Margherita Di Pula $25K QF,L vs Hercog,29% (4/14),50% (1/2),0/0,0/0,17% (1/6),1/3,1/2,- (0/0),- (0/0)
2017 Santa Margherita Di Pula $25K R32,W vs Grabher,47% (8/17),60% (6/10),2/5,1/2,56% (5/9),0/0,0/0,- (0/0),- (0/0)
2017 Antalya $15K F,L vs Lesniak,43% (3/7),100% (1/1),0/0,0/0,50% (5/10),1/3,1/2,- (0/0),- (0/0)
2021 (2 matches),,52.6%,32.0%,66.7%,50.0%,65.2%,0.0%,0.0%,-,-
2019 (7 matches),,50.0%,44.2%,64.3%,66.7%,46.6%,25.0%,25.0%,55.6%,55.6%
2017 (33 matches),,54.8%,54.0%,55.1%,60.6%,49.4%,47.2%,53.6%,54.2%,56.0%
2016 (9 matches),,51.9%,53.5%,66.7%,75.0%,48.5%,63.2%,25.0%,-,-
2015 (14 matches),,53.1%,51.9%,65.5%,61.5%,50.4%,40.9%,33.3%,72.7%,20.0%
Career (65 matches),,53.3%,51.3%,60.0%,62.9%,49.8%,45.4%,43.5%,59.1%,47.7%
