Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
21-Dec-2020,W15 Antalya,Clay,F,343,1279,(1) Anshba d. Julia Avdeeva [RUS],6-2 7-5,,,,,,,,
19-Aug-2019,W15 Moscow,Clay,F,420,,(4) Anshba d. Elina Avanesyan [RUS],6-4 6-3,,,,,,,,
12-Aug-2019,W15 Moscow,Clay,F,424,425,(4) Anshba d. (5) Vlada Koval [RUS],6-4 6-2,,,,,,,,
15-Oct-2018,Santa Margherita Di Pula $25K,Clay,F,336,91,Sara Sorribes Tormo [ESP] d. Anshba,6-4 6-3,,,,,,,,
20-Aug-2018,Vrnjacka Banja $15K,Clay,F,350,695,(4) Draginja Vukovic [SRB] d. Anshba,6-2 6-4,,,,,,,,
16-Apr-2018,Hammamet $15K,Clay,F,342,635,Margot Yerolymos [FRA] d. Anshba,6-1 6-2,,,,,,,,
12-Mar-2018,Antalya $15K,Clay,F,381,416,(4) Rebecca Sramkova [SVK] d. Anshba,6-1 7-6(3),,,,,,,,
05-Mar-2018,Antalya $15K,Clay,F,381,172,(4) Anshba d. Basak Eraydin [TUR],6-0 6-0,,,,,,,,
26-Feb-2018,Antalya $15K,Clay,F,385,525,Ylona Georgiana Ghioroaie [ROU] d. (5) Anshba,7-6(1) 3-6 6-4,,,,,,,,
27-Nov-2017,Antalya $15K,Clay,F,432,525,Maryna Chernyshova [UKR] d. Anshba,6-4 6-4,,,,,,,,
