Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
13,Di Wu [CHN],10,3,76.9%,5,3,2,60.0%,2009,2018,8,1.08,10.8%,5.6%,60.3%,72.2%,48.9%,63.0%,40.1%,66.7%,52.9%
11,Tsung Hua Yang [TPE],7,4,63.6%,1,0,1,0.0%,2009,2020,6,1.04,5.6%,8.2%,60.6%,71.7%,47.2%,62.1%,39.5%,58.3%,37.0%
10,Yuichi Sugita [JPN],3,7,30.0%,3,1,2,33.3%,2011,2019,9,0.90,9.1%,4.3%,61.9%,69.8%,45.2%,60.4%,35.4%,59.1%,31.5%
9,Zhe Li [CHN],7,2,77.8%,1,1,0,100.0%,2011,2019,5,1.25,10.2%,4.5%,68.1%,71.7%,55.7%,66.6%,41.9%,80.0%,39.5%
8,Mao Xin Gong [CHN],5,3,62.5%,2,2,0,100.0%,2008,2013,0,,,,,,,,,,
6,Luke Saville [AUS],6,0,100.0%,1,1,0,100.0%,2011,2019,4,1.30,5.0%,5.4%,63.9%,78.2%,53.5%,69.3%,39.9%,66.7%,46.2%
6,Aleksandr Nedovyesov [KAZ],1,5,16.7%,5,0,5,0.0%,2015,2018,6,0.88,4.7%,3.5%,66.6%,64.4%,44.8%,57.9%,37.1%,63.2%,41.0%
6,Jimmy Wang [TPE],1,5,16.7%,2,0,2,0.0%,2012,2016,4,0.98,6.4%,3.7%,63.3%,60.9%,45.8%,55.4%,43.6%,56.8%,41.9%
5,Takuto Niki [JPN],4,1,80.0%,0,0,0,-,2012,2021,2,1.19,12.9%,5.9%,63.4%,76.6%,48.6%,66.3%,40.0%,57.1%,36.4%
5,Alex Bolt [AUS],4,1,80.0%,0,0,0,-,2011,2019,3,1.20,7.4%,3.2%,69.1%,76.2%,53.4%,69.1%,37.0%,50.0%,46.7%
5,Yan Bai [CHN],3,2,60.0%,5,4,1,80.0%,2012,2019,2,1.04,9.1%,5.1%,66.9%,70.1%,55.2%,65.1%,36.3%,78.6%,66.7%
5,Taro Daniel [JPN],1,4,20.0%,3,0,3,0.0%,2013,2019,5,0.96,6.4%,5.4%,67.7%,63.3%,38.1%,55.1%,43.2%,51.2%,41.5%
5,Jose Rubin Statham [NZL],5,0,100.0%,3,1,2,33.3%,2013,2017,4,1.24,11.0%,4.3%,64.7%,78.4%,50.9%,68.7%,38.8%,80.0%,50.0%
5,Yasutaka Uchiyama [JPN],3,2,60.0%,2,1,1,50.0%,2014,2017,4,1.01,9.6%,6.0%,66.7%,72.3%,48.9%,64.5%,35.7%,76.0%,32.1%
5,Go Soeda [JPN],1,4,20.0%,1,1,0,100.0%,2009,2015,4,0.98,6.7%,7.1%,59.9%,61.0%,52.0%,57.4%,41.9%,48.6%,47.2%
