Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2023-07-03),1385,3,,,,,,,,,,,,
2022,1017,10,,,,,,,,,,,,
2021,621,46,,,,,,,,,,,,
2020,417,92,,,,,,,,,144,579,,
2019,356,107,302,1437,264,1429,311,1363,232,1385,116,747,,
2018,208,246,245,1484,211,1472,256,1406,,,96,879,,
2017,192,266,182,1562,160,1539,201,1479,,,198,329,,
2016,201,272,226,1503,205,1477,197,1481,187,1446,131,593,,
2015,189,264,223,1501,202,1471,,,181,1469,398,167,,
2014,185,271,199,1545,179,1518,201,1479,125,1537,408,148,,
2013,254,182,219,1511,200,1487,234,1441,,,284,224,,
2012,158,351,230,1498,209,1468,232,1448,130,1518,459,123,,
2011,292,158,313,1386,282,1366,,,,,461,116,,
2010,315,141,337,1360,304,1349,,,,,356,166,,
2009,592,42,,,,,,,,,430,119,,
2008,1005,9,,,,,,,,,,,,
2007,1479,1,,,,,,,,,,,,
