Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2025 Oeiras 3 CH R32,W vs Chidekh,44% (7/16),86% (6/7),3/4,38% (6/16),0% (0/6),3/6,1/4,0/1,0/2,0/0
2024 Vicenza CH R16,W vs Olivieri,67% (6/9),67% (4/6),0/1,11% (1/9),0% (0/1),2/3,1/1,0/0,1/1,0/0
2024 Ottignies-Louvain-la-Neuve CH R32,W vs Bonzi,43% (6/14),67% (4/6),1/3,27% (4/15),25% (1/4),2/3,1/1,1/1,1/1,0/0
2022 Orleans CH R16,W vs Moutet,31% (5/16),40% (2/5),1/3,44% (7/16),43% (3/7),2/2,0/0,2/3,0/0,2/2
2019 M15 Reggio Emilia R32,W vs Obert,36% (4/11),100% (4/4),0/1,17% (2/12),0% (0/2),3/3,1/1,0/2,0/0,0/0
2019 M25 Pensacola FL R32,L vs Mantilla,33% (3/9),33% (1/3),0/4,44% (4/9),0% (0/4),0/1,0/0,2/2,0/0,1/1
2019 M15 Orange Park FL QF,L vs Popko,40% (4/10),50% (2/4),0/3,45% (5/11),20% (1/5),1/2,0/0,2/3,0/0,0/1
2019 M15 Orange Park FL R16,W vs Constantin Ignat,75% (6/8),83% (5/6),2/2,33% (3/9),33% (1/3),5/5,2/2,0/0,1/1,0/0
2019 M15 Orange Park FL R32,W vs Hohmann,71% (5/7),100% (5/5),1/1,13% (1/8),0% (0/1),4/5,2/2,0/0,1/1,0/0
2019 M15 Sunrise FL R32,W vs Johnson,63% (5/8),100% (5/5),0/2,44% (4/9),50% (2/4),3/4,1/1,0/0,1/1,0/0
2019 M15 Cancun R32,L vs Corwin,25% (3/12),100% (3/3),0/5,50% (6/12),17% (1/6),1/2,0/0,1/1,0/0,1/1
2019 M15 Cancun R16,L vs Arconada,57% (8/14),75% (6/8),3/7,64% (9/14),22% (2/9),3/6,1/1,0/0,0/0,0/0
2019 M15 Cancun R32,W vs Patino,55% (6/11),83% (5/6),3/4,36% (4/11),0% (0/4),0/3,0/0,1/1,0/0,0/0
2019 M15 Cancun R32,L vs Newman,27% (3/11),33% (1/3),0/3,55% (6/11),50% (3/6),0/1,0/0,2/2,0/0,1/1
2019 M15 Antalya QF,L vs Zukas,45% (5/11),80% (4/5),1/5,75% (9/12),22% (2/9),1/3,0/0,0/2,0/0,0/1
2019 M15 Antalya R32,W vs Tomescu,38% (3/8),100% (3/3),0/0,11% (1/9),100% (1/1),2/2,1/1,0/0,1/1,0/0
2019 M15 Antalya R16,L vs Samper Montana,45% (5/11),100% (5/5),3/6,73% (8/11),25% (2/8),2/4,0/0,3/3,0/0,2/2
2019 M15 Antalya R32,W vs Agabigun,75% (6/8),83% (5/6),0/1,13% (1/8),0% (0/1),3/3,0/0,0/0,0/0,0/0
2019 M15 Antalya QF,L vs Rodriguez,36% (5/14),80% (4/5),1/3,40% (6/15),17% (1/6),2/4,1/1,1/3,0/0,1/2
2019 M15 Antalya R16,W vs Mejia,50% (7/14),71% (5/7),1/3,40% (6/15),33% (2/6),4/5,2/2,0/1,1/1,0/0
2025 (1 matches),,43.8%,85.7%,75.0%,37.5%,0.0%,50.0%,25.0%,0.0%,0.0%,-
2024 (2 matches),,52.2%,66.7%,25.0%,20.8%,20.0%,66.7%,100.0%,100.0%,100.0%,-
2022 (1 matches),,31.3%,40.0%,33.3%,43.8%,42.9%,100.0%,-,66.7%,-,100.0%
2019 (20 matches),,43.9%,80.6%,28.1%,39.4%,26.4%,66.1%,93.3%,63.6%,100.0%,66.7%
2018 (1 matches),,30.0%,100.0%,40.0%,55.6%,0.0%,66.7%,-,100.0%,-,-
Career (27 matches),,41.0%,78.3%,28.4%,39.2%,22.9%,65.8%,81.0%,66.7%,81.8%,75.0%
