Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
11,Jing Jing Lu [CHN],7,4,63.6%,1,0,1,0.0%,2015,2024,0,,,,,,,,,,
9,Yidi Yang [CHN],7,2,77.8%,2,1,1,50.0%,2019,2025,1,0.42,0.0%,5.9%,88.2%,33.3%,50.0%,35.3%,27.3%,60.0%,0
9,Jia Jing Lu [CHN],5,4,55.6%,1,0,1,0.0%,2019,2025,2,1.70,12.0%,6.7%,52.0%,79.5%,69.4%,74.7%,43.0%,100.0%,40.0%
9,Chang Liu [CHN],8,1,88.9%,1,0,1,0.0%,2012,2019,1,1.28,14.8%,2.3%,64.8%,73.7%,41.9%,62.5%,47.9%,72.7%,40.0%
8,Lin Zhu [CHN],1,7,12.5%,2,1,1,50.0%,2014,2019,0,,,,,,,,,,
8,Hiroko Kuwata [JPN],7,1,87.5%,2,1,1,50.0%,2012,2019,2,1.53,8.2%,1.8%,68.2%,69.3%,57.1%,65.5%,52.9%,57.1%,47.6%
7,Qiang Wang [CHN],2,5,28.6%,0,0,0,-,2014,2018,2,0.54,4.6%,5.5%,56.9%,50.0%,38.3%,45.0%,30.0%,31.3%,50.0%
7,Xinyun Han [CHN],3,4,42.9%,1,1,0,100.0%,2014,2018,2,1.40,3.5%,2.1%,64.1%,75.8%,54.9%,68.3%,44.3%,57.1%,33.3%
6,Xinxin Yao [CHN],3,3,50.0%,1,0,1,0.0%,2022,2025,3,0.97,3.8%,3.0%,61.3%,62.5%,36.3%,52.3%,46.2%,63.2%,35.3%
6,Xu Liu Sun [CHN],6,0,100.0%,2,1,1,50.0%,2016,2019,0,,,,,,,,,,
6,Kai Lin Zhang [CHN],3,3,50.0%,0,0,0,-,2012,2019,0,,,,,,,,,,
6,Ying Ying Duan [CHN],1,5,16.7%,2,0,2,0.0%,2013,2018,2,1.08,10.3%,6.2%,54.9%,77.6%,45.5%,63.1%,39.7%,53.3%,47.4%
5,Xiaodi You [CHN],4,1,80.0%,1,0,1,0.0%,2016,2025,2,0.99,5.4%,8.1%,60.8%,61.9%,39.7%,53.2%,46.3%,33.3%,60.0%
5,Sijia Wei [CHN],4,1,80.0%,0,0,0,-,2019,2024,0,,,,,,,,,,
5,Eri Hozumi [JPN],4,1,80.0%,0,0,0,-,2012,2019,0,,,,,,,,,,
