Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2010 Australian Open R16,L vs Roddick,25.7%,39.4%,53.0%,34.6%,34.6%,52.9%,61.8%,49.5%,50.0%,55.8%,66.7%,15.5%,24.1%,40.8%,32
2009 Paris R16,L vs Del Potro,34.0%,43.3%,47.5%,41.3%,51.8%,64.3%,59.3%,64.5%,50.0%,65.6%,100.0%,10.5%,15.8%,38.2%,-11
2009 Shanghai R16,L vs Davydenko,26.1%,31.9%,46.9%,33.3%,40.5%,50.0%,64.0%,52.4%,38.1%,47.6%,50.0%,4.0%,4.0%,29.2%,-77
2009 Beijing R32,L vs Safin,20.7%,37.9%,55.3%,29.0%,30.0%,50.0%,61.9%,46.0%,31.3%,78.6%,100.0%,15.0%,35.0%,47.1%,32
2009 US Open R16,W vs Tsonga,33.3%,53.3%,59.3%,42.1%,43.6%,69.2%,65.9%,58.7%,51.4%,56.1%,57.1%,20.8%,34.0%,52.4%,27
2009 US Open R128,W vs Massu,42.5%,47.5%,45.5%,43.9%,54.8%,57.1%,42.1%,57.4%,37.5%,30.8%,-,30.6%,38.9%,48.0%,1
2009 Canada R32,W vs Raonic,32.1%,39.4%,54.3%,38.2%,41.7%,50.0%,52.4%,50.8%,53.3%,54.8%,50.0%,15.2%,21.2%,57.1%,31
2009 Washington SF,L vs Del Potro,24.1%,34.9%,46.3%,28.9%,28.9%,46.7%,53.1%,37.8%,54.5%,65.2%,66.7%,24.1%,27.6%,36.4%,102
2009 Roland Garros SF,L vs Soderling,27.2%,38.9%,53.1%,35.6%,33.3%,46.1%,51.5%,46.8%,60.5%,54.2%,75.0%,18.2%,29.1%,55.6%,47
2009 Roland Garros QF,W vs Murray,22.5%,38.2%,61.5%,32.6%,31.4%,54.9%,68.6%,49.0%,54.5%,89.7%,100.0%,19.0%,28.6%,47.1%,-10
2009 Roland Garros R16,W vs Hanescu,31.3%,47.8%,69.6%,41.3%,45.7%,60.0%,73.7%,64.9%,60.0%,48.0%,-,15.6%,34.4%,66.7%,-79
2009 Rome SF,L vs Nadal,13.7%,31.4%,50.0%,25.1%,16.1%,41.9%,65.4%,34.8%,82.4%,35.7%,100.0%,11.1%,16.7%,25.0%,-8
2009 Australian Open R32,W vs Gasquet,29.1%,44.8%,52.6%,37.9%,34.5%,51.8%,58.2%,47.5%,40.7%,67.5%,66.7%,19.3%,33.3%,41.3%,71
2008 Olympics F,L vs Nadal,28.0%,40.2%,44.7%,35.0%,36.2%,50.7%,52.3%,47.0%,40.0%,23.5%,20.0%,13.5%,21.6%,34.4%,-39
2008 Olympics SF,W vs Blake,27.5%,41.3%,56.8%,38.0%,36.4%,53.5%,61.9%,51.0%,27.0%,59.7%,57.1%,5.9%,11.8%,46.9%,-62
2008 Roland Garros QF,L vs Federer,14.8%,21.6%,46.9%,20.3%,20.4%,29.6%,39.5%,29.4%,32.0%,79.3%,100.0%,8.7%,13.0%,61.9%,-79
2007 Masters Cup RR,W vs Federer,23.9%,39.4%,60.0%,31.6%,32.8%,50.7%,64.4%,45.4%,31.0%,44.7%,50.0%,10.3%,23.1%,54.3%,-13
2007 Wimbledon R32,L vs Tipsarevic,32.3%,42.6%,46.1%,37.5%,44.7%,59.6%,48.1%,53.4%,35.6%,42.9%,66.7%,13.8%,17.2%,44.0%,-5
2007 Rome F,L vs Nadal,15.0%,23.3%,38.8%,24.2%,21.4%,33.3%,45.5%,34.5%,72.7%,50.0%,33.3%,0.0%,0.0%,25.0%,-118
2007 Rome SF,W vs Volandri,25.0%,38.5%,60.5%,33.1%,33.3%,51.5%,68.2%,46.1%,50.0%,89.5%,50.0%,11.1%,16.7%,50.0%,-2
Career (49 matches),,27.3%,40.2%,52.0%,34.7%,36.3%,51.7%,56.0%,48.6%,46.4%,55.2%,54.0%,15.8%,26.1%,46.7%,37
