Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,10,Hard,30,20,10,66.7%,19,11,8,57.9%,2001,2010,F,30,1.05,9.0%,4.4%,62.4%,73.5%,50.0%,64.7%,36.9%,62.5%,38.6%
Roland Garros,10,Clay,30,20,10,66.7%,10,6,4,60.0%,2001,2010,SF,30,1.13,8.8%,3.9%,63.1%,73.5%,52.1%,65.6%,39.0%,58.9%,39.0%
Wimbledon,9,Grass,25,16,9,64.0%,18,9,9,50.0%,2002,2011,QF,25,1.07,12.1%,4.4%,61.1%,77.7%,55.0%,68.8%,33.3%,59.6%,37.6%
US Open,12,Hard,33,21,12,63.6%,23,14,9,60.9%,2000,2011,QF,29,1.04,9.4%,5.4%,59.3%,75.6%,53.0%,66.4%,35.1%,66.4%,40.5%
Olympics,2,,12,10,2,83.3%,2,1,1,50.0%,2004,2008,F,6,1.13,8.8%,2.2%,64.8%,75.9%,55.6%,68.8%,35.2%,79.2%,45.5%
Davis Cup,12,,27,20,7,74.1%,17,11,6,64.7%,1998,2011,,0,,,,,,,,,,
Miami Masters,10,Hard,24,14,10,58.3%,14,5,9,35.7%,2002,2012,SF,23,1.07,7.4%,5.5%,58.1%,74.5%,53.0%,65.5%,36.8%,62.8%,40.9%
Vina del Mar,8,Clay,33,29,4,87.9%,14,11,3,78.6%,2001,2009,W,29,1.30,7.8%,4.6%,60.2%,75.3%,53.5%,66.6%,43.5%,64.0%,43.9%
Cincinnati Masters,8,Hard,20,12,8,60.0%,7,6,1,85.7%,2002,2009,SF,20,1.03,8.8%,5.4%,61.7%,75.2%,47.7%,64.7%,36.4%,59.4%,46.6%
Canada Masters,8,Hard,17,9,8,52.9%,9,4,5,44.4%,2002,2009,SF,17,1.06,7.2%,4.6%,62.1%,71.4%,57.0%,66.0%,36.2%,67.4%,32.1%
Indian Wells Masters,8,Hard,16,8,8,50.0%,5,5,0,100.0%,2002,2009,R16,16,0.92,7.2%,6.1%,57.8%,71.2%,50.6%,62.5%,34.6%,64.4%,37.6%
Rome Masters,7,Clay,23,16,7,69.6%,5,3,2,60.0%,2002,2009,F,22,1.13,6.1%,3.9%,61.7%,73.4%,49.8%,64.4%,40.2%,63.2%,43.6%
