Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2012,509,65,,,,,,,,,,,,
2011,298,155,,,,,,,,,,,,
2010,68,720,22,1920,25,1856,13,1913,,,154,450,,
2009,11,2870,12,1990,17,1903,8,1982,23,1777,91,810,50,1680
2008,15,1420,14,1948,15,1871,8,1955,14,1802,290,190,85,1606
2007,7,2005,15,1928,15,1882,12,1904,14,1803,102,540,34,1711
2006,10,2015,3,2043,4,1987,4,1977,9,1852,95,550,23,1733
2005,11,1790,9,1962,10,1891,8,1938,14,1780,25,1590,23,1735
2004,23,1235,18,1903,21,1841,6,1929,50,1675,67,940,9,1855
2003,35,1025,35,1857,41,1768,11,1896,82,1596,128,410,68,1596
2002,18,1636,16,1942,17,1874,20,1878,56,1656,229,190,,
2001,139,287,176,1595,182,1523,135,1583,181,1462,650,44,,
2000,115,338,124,1667,115,1615,132,1598,,,363,116,,
1999,412,76,237,1517,236,1459,225,1468,,,577,59,,
1998,580,33,,,,,,,,,880,20,,
1997,1057,,,,,,,,,,941,16,,
1996,1269,,,,,,,,,,1259,1,,
