Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2010 Australian Open R16,L vs Roddick,45.2%,53.6%,4.0%,2/3,2.08,1.7%,32.5%,42.3%,1.3%,1.96,0.0%,76.9%,63.3%,10.3%,2.23,4.1%
2009 Paris R16,L vs Del Potro,78.0%,48.9%,5.9%,4/3,2.18,8.2%,72.5%,44.8%,5.0%,2.23,18.5%,91.9%,55.9%,8.1%,2.15,0.0%
2009 Shanghai R16,L vs Davydenko,76.6%,22.2%,6.4%,2/1,1.92,6.3%,78.1%,12.0%,3.1%,1.88,12.5%,78.6%,45.5%,14.3%,1.98,0.0%
2009 Beijing R32,L vs Safin,58.2%,34.4%,1.8%,0/1,2.46,10.5%,51.5%,23.5%,0.0%,2.60,19.0%,71.4%,46.7%,4.8%,2.29,0.0%
2009 US Open R16,W vs Tsonga,65.4%,45.8%,7.1%,5/4,1.93,24.4%,61.5%,31.3%,3.8%,1.93,27.3%,77.8%,65.7%,13.3%,1.94,21.4%
2009 US Open R128,W vs Massu,70.9%,64.4%,1.9%,1/1,2.33,0.0%,73.3%,63.6%,1.7%,2.71,0.0%,78.4%,65.5%,2.7%,2.04,0.0%
2009 Canada R32,W vs Raonic,60.9%,46.3%,4.5%,1/4,2.03,18.6%,48.4%,32.3%,4.7%,2.11,21.4%,83.7%,58.3%,4.7%,1.91,14.3%
2009 Washington SF,L vs Del Potro,69.0%,41.7%,2.3%,0/2,2.19,9.3%,68.4%,34.6%,2.6%,2.24,15.6%,87.2%,47.1%,2.6%,2.11,0.0%
2009 Roland Garros SF,L vs Soderling,67.3%,48.6%,5.6%,4/5,2.44,24.8%,60.9%,48.6%,2.6%,2.44,38.2%,83.0%,48.7%,12.8%,2.44,4.4%
2009 Roland Garros QF,W vs Murray,67.3%,59.1%,3.1%,1/2,2.23,13.5%,85.5%,59.6%,0.0%,2.20,20.0%,86.4%,57.9%,13.6%,2.29,0.0%
2009 Roland Garros R16,W vs Hanescu,76.0%,52.6%,2.7%,0/2,2.01,21.7%,74.5%,50.0%,0.0%,1.92,42.1%,86.4%,57.9%,9.1%,2.07,7.4%
2009 Rome SF,L vs Nadal,93.5%,30.2%,0.0%,0/0,1.82,4.8%,94.1%,21.9%,0.0%,1.79,7.7%,91.7%,54.5%,0.0%,1.88,0.0%
2009 Australian Open R32,W vs Gasquet,74.3%,39.8%,4.5%,5/3,1.99,38.0%,72.2%,27.7%,3.5%,1.99,39.6%,87.7%,60.0%,7.0%,1.98,34.8%
2008 Olympics F,L vs Nadal,71.3%,24.2%,1.1%,0/1,2.13,17.1%,74.6%,19.1%,1.6%,2.34,29.5%,71.4%,40.0%,0.0%,1.84,0.0%
2008 Olympics SF,W vs Blake,67.7%,44.4%,6.0%,2/6,1.89,31.6%,60.8%,35.6%,4.1%,1.77,44.4%,81.8%,53.3%,9.1%,2.13,6.3%
2008 Roland Garros QF,L vs Federer,68.4%,41.5%,5.3%,3/2,2.26,6.3%,77.8%,40.5%,5.6%,2.36,9.3%,76.7%,43.5%,6.7%,2.05,0.0%
2007 Masters Cup RR,W vs Federer,68.5%,36.5%,2.2%,2/0,2.15,38.8%,67.2%,39.0%,0.0%,1.97,42.2%,73.3%,31.8%,6.7%,2.39,34.3%
2007 Wimbledon R32,L vs Tipsarevic,73.4%,44.2%,3.9%,2/3,2.30,14.0%,65.2%,39.7%,5.6%,2.30,26.8%,93.2%,49.1%,1.7%,2.30,2.2%
2007 Rome F,L vs Nadal,77.3%,35.3%,4.5%,2/0,2.16,2.0%,79.4%,29.6%,2.9%,2.14,3.0%,77.8%,57.1%,11.1%,2.22,0.0%
2007 Rome SF,W vs Volandri,78.6%,57.6%,4.8%,1/1,2.34,2.6%,76.9%,55.0%,0.0%,2.39,4.5%,86.7%,61.5%,13.3%,2.28,0.0%
Career (49 matches),,67.1%,46.4%,4.1%,49.5%,2.18,21.5%,65.2%,41.3%,3.2%,2.16,27.6%,80.4%,54.3%,6.3%,2.19,13.3%
