Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2025 Cleveland R16,L vs Lys,24.7%,30.1%,27.3%,29.7%,37.8%,26.9%,57.1%,43.5%,100.0%,28.0%,32.0%,27.8%,13.3%,70.0%,-,105
2025 Wimbledon R128,L vs Swiatek,19.6%,34.8%,59.4%,22.2%,44.4%,66.7%,43.8%,63.6%,0.0%,21.4%,28.6%,45.5%,40.0%,33.3%,100.0%,63
2025 Indian Wells R32,L vs Kartal,12.7%,28.6%,52.9%,20.0%,40.0%,57.1%,76.5%,77.8%,100.0%,4.2%,16.7%,47.8%,0.0%,60.0%,50.0%,-77
2025 Doha Q2,L vs Parks,28.6%,30.4%,38.2%,34.4%,37.5%,33.3%,33.3%,52.9%,75.0%,27.8%,27.8%,46.2%,55.6%,55.6%,66.7%,121
2025 Australian Open Q3,W vs Micic,29.6%,46.5%,52.2%,38.6%,61.4%,59.3%,57.1%,39.1%,25.0%,17.4%,26.1%,42.1%,40.0%,53.8%,100.0%,52
2025 Brisbane F,L vs Sabalenka,29.2%,37.1%,37.5%,38.0%,50.0%,48.4%,39.3%,68.2%,50.0%,21.9%,25.0%,24.0%,50.0%,50.0%,100.0%,88
2025 Brisbane QF,W vs Krueger,19.4%,43.1%,61.4%,18.4%,44.9%,65.0%,39.1%,57.7%,0.0%,22.7%,40.9%,52.9%,42.9%,80.0%,-,-51
2024 Merida SF,L vs Li,28.2%,37.2%,34.0%,25.0%,37.5%,36.7%,35.3%,39.1%,100.0%,34.3%,40.0%,30.4%,5.9%,55.6%,0.0%,-9
2024 Seoul R16,W vs Alexandrova,42.6%,47.5%,37.9%,51.6%,58.1%,40.0%,57.1%,47.1%,50.0%,41.7%,45.8%,35.7%,40.0%,78.6%,0.0%,137
2023 Australian Open R128,L vs Gadecki,25.8%,37.1%,47.6%,30.3%,45.5%,52.2%,36.8%,57.1%,66.7%,24.0%,32.0%,42.1%,0.0%,33.3%,33.3%,62
Last 52 Weeks (2 matches),,22.7%,31.9%,40.8%,26.6%,40.6%,44.7%,50.0%,50.0%,83.3%,25.6%,30.8%,34.5%,20.0%,52.6%,100.0%,90
Career (10 matches),,26.2%,37.4%,45.0%,30.7%,46.0%,49.6%,46.7%,53.6%,65.4%,24.8%,31.8%,38.5%,26.0%,57.2%,57.9%,106
