Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,38,18,20,47.4%,42-42,50.0%,382-392,49.4%,3-3,50.0%,38,61.5%,37.0%,4.6%,7.4%,55.4%,64.6%,41.9%,54.5%,43.7%,49.3%,0.96
Clay,10,2,8,20.0%,8-17,32.0%,87-137,38.8%,2-0,100.0%,10,49.5%,27.0%,2.6%,6.8%,53.3%,58.4%,41.4%,50.4%,40.7%,45.7%,0.82
Grass,5,1,4,20.0%,2-8,20.0%,35-56,38.5%,0-0,-,5,60.0%,17.4%,8.0%,9.0%,60.6%,66.9%,36.8%,55.0%,36.0%,45.6%,0.80
Grand Slams,8,2,6,25.0%,4-12,25.0%,63-89,41.4%,0-1,0.0%,8,61.0%,24.4%,4.8%,7.4%,54.2%,66.5%,39.1%,54.0%,37.0%,45.7%,0.80
Premiers,13,8,5,61.5%,18-12,60.0%,147-136,51.9%,1-1,50.0%,13,67.9%,36.2%,5.6%,7.6%,56.9%,68.8%,41.7%,57.1%,42.8%,50.2%,1.00
Internationals,18,7,11,38.9%,18-22,45.0%,164-181,47.5%,0-0,-,18,55.4%,38.5%,4.2%,8.3%,54.1%,62.5%,41.1%,52.7%,44.8%,48.9%,0.95
Finals,1,0,1,0.0%,1-2,33.3%,11-16,40.7%,0-0,-,1,57.1%,23.1%,10.1%,7.9%,56.2%,68.0%,33.3%,52.8%,33.8%,44.0%,0.72
Semi-finals,2,1,1,50.0%,3-2,60.0%,23-23,50.0%,0-0,-,2,69.6%,30.4%,5.3%,6.7%,50.7%,68.4%,45.9%,57.3%,41.7%,50.0%,0.98
Quarter-finals,4,2,2,50.0%,4-5,44.4%,37-47,44.0%,1-0,100.0%,4,59.5%,26.8%,2.8%,8.7%,56.9%,62.8%,41.1%,53.5%,38.6%,46.5%,0.83
vs Righties,46,19,27,41.3%,46-57,44.7%,453-508,47.1%,5-3,62.5%,46,59.7%,34.0%,4.6%,7.1%,56.0%,63.6%,41.8%,54.0%,42.9%,48.6%,0.93
vs Lefties,6,1,5,16.7%,4-10,28.6%,39-72,35.1%,0-0,-,6,47.3%,23.2%,2.3%,10.7%,50.5%,60.8%,37.9%,49.5%,36.7%,43.5%,0.73
vs Top 10,5,1,4,20.0%,3-9,25.0%,45-67,40.2%,0-1,0.0%,5,60.7%,20.0%,7.4%,8.4%,57.2%,68.6%,36.3%,54.8%,34.9%,45.3%,0.77
