Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2021 Wimbledon R128,L vs Sabalenka,18.6%,18.6%,29.2%,15.1%,15.1%,28.9%,33.3%,26.9%,22.2%,50.0%,50.0%,33.3%,0.0%,20.0%,-,-104
2020 Roland Garros R128,L vs Collins,23.9%,30.4%,35.3%,21.3%,29.3%,39.0%,23.1%,33.3%,30.0%,40.0%,40.0%,11.1%,0.0%,0.0%,0.0%,38
2020 Australian Open R128,L vs Cornet,11.8%,19.7%,36.4%,15.3%,23.7%,38.0%,48.1%,18.8%,33.3%,0.0%,6.3%,31.3%,77.8%,14.3%,0.0%,-119
2019 Tashkent R32,W vs Abduraimova,21.6%,25.5%,56.4%,17.9%,20.5%,59.4%,33.3%,4.8%,0.0%,36.4%,45.5%,42.9%,0.0%,0.0%,-,-3
2019 US Open R128,L vs Yastremska,21.2%,23.5%,49.2%,24.6%,26.1%,48.1%,23.5%,14.3%,0.0%,8.3%,16.7%,54.5%,25.0%,0.0%,-,-47
2019 Wimbledon R128,W vs Petkovic,17.7%,20.8%,47.4%,19.5%,22.1%,45.2%,45.0%,13.5%,22.2%,11.1%,16.7%,56.3%,20.0%,0.0%,0.0%,-40
2019 Miami R32,L vs Wozniacki,8.2%,11.0%,50.0%,8.5%,12.8%,46.5%,68.4%,35.7%,0.0%,8.0%,8.0%,56.5%,50.0%,0.0%,-,-57
2019 Miami R64,W vs Muguruza,9.2%,11.0%,47.9%,9.4%,10.6%,45.5%,54.5%,12.2%,0.0%,9.5%,14.3%,57.9%,28.6%,21.4%,0.0%,-23
2019 Hua Hin R32,W vs Hsieh,15.3%,20.0%,47.8%,14.1%,18.8%,50.9%,40.6%,28.1%,30.0%,22.2%,27.8%,35.7%,60.0%,0.0%,0.0%,68
2019 Australian Open R128,L vs Anisimova,29.2%,31.9%,37.3%,31.6%,33.3%,30.8%,50.0%,27.6%,40.0%,20.0%,26.7%,58.3%,60.0%,0.0%,0.0%,-104
2019 Shenzhen R32,W vs Ostapenko,34.2%,39.5%,52.0%,36.4%,42.4%,57.1%,35.7%,10.5%,-,20.0%,20.0%,25.0%,33.3%,0.0%,-,-104
2018 US Open R128,L vs Glushko,12.5%,15.6%,50.0%,12.2%,13.4%,47.2%,46.5%,7.7%,0.0%,16.7%,33.3%,70.0%,0.0%,20.0%,0.0%,46
2018 Miami R128,W vs Putintseva,20.0%,20.0%,46.8%,23.4%,23.4%,47.2%,50.0%,17.4%,0.0%,8.3%,8.3%,45.5%,50.0%,12.5%,0.0%,-30
2018 Doha R16,L vs Wozniacki,4.8%,9.7%,39.7%,2.4%,9.8%,45.0%,58.3%,47.1%,50.0%,10.0%,10.0%,27.8%,55.6%,0.0%,0.0%,-46
2018 Doha R64,W vs Sharapova,17.8%,19.8%,46.9%,15.8%,18.4%,46.9%,12.2%,28.6%,30.8%,26.1%,26.1%,47.1%,57.1%,12.5%,0.0%,-7
2017 Shenzhen R32,L vs Sabalenka,17.4%,21.7%,29.8%,18.9%,24.5%,32.6%,39.3%,20.0%,0.0%,12.5%,12.5%,21.4%,16.7%,0.0%,0.0%,-104
2017 Luxembourg R32,L vs Parmentier,7.4%,11.8%,42.6%,7.4%,11.1%,42.0%,21.4%,26.9%,28.6%,8.3%,16.7%,45.5%,33.3%,0.0%,0.0%,-36
2017 Beijing R32,L vs Peng,8.3%,8.3%,30.2%,7.9%,7.9%,31.4%,55.6%,5.0%,0.0%,11.1%,11.1%,25.0%,60.0%,0.0%,-,-4
2017 Beijing R64,W vs Konta,27.3%,27.3%,67.7%,31.6%,31.6%,73.1%,33.3%,15.0%,0.0%,0.0%,0.0%,40.0%,50.0%,0.0%,-,-119
2017 Eastbourne R32,L vs Pironkova,22.5%,22.5%,25.8%,17.6%,17.6%,28.6%,94.4%,0.0%,0.0%,50.0%,50.0%,0.0%,66.7%,0.0%,0.0%,-104
Career (49 matches),,15.2%,18.9%,45.1%,15.8%,19.9%,46.4%,38.0%,23.9%,23.5%,14.9%,17.7%,41.0%,43.5%,9.0%,5.8%,6
