Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,37,15,22,40.5%,40-52,43.5%,475-506,48.4%,18-14,56.3%,37,88.3%,8.4%,19.0%,4.1%,70.3%,78.5%,51.2%,70.4%,26.4%,48.8%,0.89
Clay,8,2,6,25.0%,7-14,33.3%,102-118,46.4%,2-3,40.0%,8,82.4%,10.3%,9.6%,4.3%,65.1%,71.6%,52.0%,64.8%,28.8%,47.7%,0.82
Grass,4,1,3,25.0%,5-8,38.5%,70-79,47.0%,4-2,66.7%,4,87.3%,5.6%,19.1%,5.3%,66.6%,80.7%,47.6%,69.7%,21.2%,47.5%,0.70
Grand Slams,5,1,4,20.0%,9-13,40.9%,112-123,47.7%,4-2,66.7%,5,86.8%,7.8%,14.7%,5.3%,65.2%,78.1%,53.3%,69.5%,27.0%,48.4%,0.88
Masters,13,3,10,23.1%,10-20,33.3%,144-163,46.9%,2-6,25.0%,13,84.6%,10.7%,15.0%,4.8%,66.2%,76.1%,49.5%,67.1%,27.1%,48.1%,0.83
Other Tours,31,14,17,45.2%,33-41,44.6%,391-417,48.4%,18-11,62.1%,31,88.4%,7.7%,19.1%,3.7%,71.2%,78.1%,50.7%,70.2%,25.7%,48.6%,0.86
Best of 5,5,1,4,20.0%,9-13,40.9%,112-123,47.7%,4-2,66.7%,5,86.8%,7.8%,14.7%,5.3%,65.2%,78.1%,53.3%,69.5%,27.0%,48.4%,0.88
Best of 3,44,17,27,38.6%,43-61,41.3%,535-580,48.0%,20-17,54.1%,44,87.3%,8.5%,17.9%,4.0%,69.8%,77.6%,50.3%,69.4%,26.1%,48.5%,0.85
Semi-finals,2,0,2,0.0%,0-4,0.0%,21-27,43.8%,0-2,0.0%,2,87.0%,4.3%,17.9%,2.1%,76.6%,78.4%,38.2%,69.0%,19.4%,45.6%,0.62
Quarter-finals,4,2,2,50.0%,5-4,55.6%,47-47,50.0%,2-1,66.7%,4,88.9%,10.9%,21.3%,1.5%,70.0%,79.3%,55.7%,72.2%,26.5%,49.6%,0.95
vs Righties,48,17,31,35.4%,50-73,40.7%,630-688,47.8%,23-19,54.8%,48,87.1%,8.4%,17.2%,4.3%,68.9%,77.7%,50.9%,69.4%,26.3%,48.4%,0.86
vs Lefties,1,1,0,100.0%,2-1,66.7%,17-15,53.1%,1-0,100.0%,1,93.8%,6.7%,24.5%,2.9%,71.6%,78.1%,51.7%,70.6%,23.5%,49.7%,0.80
vs Top 10,7,2,5,28.6%,8-12,40.0%,106-118,47.3%,5-3,62.5%,7,89.7%,4.6%,16.4%,5.0%,67.6%,81.9%,53.1%,72.6%,21.3%,47.7%,0.78
