Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2026 Brisbane R32,W vs Paul,46,48,1.0,22.3%,23.3%,22,44,0.5,12.9%,25.7%,7.0%,4.7%,1.8,13.6%,7.8%
2025 Basel R32,L vs Fonseca,42,20,2.1,31.3%,14.9%,29,20,1.5,25.7%,17.7%,10.6%,3.5%,3.2,31.3%,9.7%
2025 Brussels QF,W vs Musetti,49,17,2.9,37.4%,13.0%,37,16,2.3,33.3%,14.4%,12.6%,5.4%,2.8,27.5%,9.9%
2025 Shanghai Masters R32,W vs Fritz,33,12,2.8,28.0%,10.2%,21,10,2.1,22.3%,10.6%,13.8%,4.3%,3.3,19.5%,5.9%
2025 Wimbledon R128,L vs Fritz,87,64,1.4,25.3%,18.6%,48,50,1.0,18.6%,19.4%,10.9%,4.3%,4.7,19.2%,4.1%
2025 Stuttgart R16,L vs Auger Aliassime,36,23,1.6,32.7%,20.9%,28,20,1.4,29.8%,21.3%,7.4%,7.4%,2.4,23.6%,10.0%
2025 Roland Garros R128,W vs Bergs,42,46,0.9,15.8%,17.4%,29,41,0.7,12.6%,17.7%,6.9%,3.5%,0.9,18.1%,19.6%
2025 Madrid Masters R128,L vs Navone,38,39,1.0,31.1%,32.0%,34,38,0.9,29.8%,33.3%,8.8%,7.0%,2.1,17.2%,8.2%
2025 Indian Wells Masters R32,L vs Griekspoor,23,24,1.0,20.0%,20.9%,18,19,0.9,19.4%,20.4%,14.0%,5.4%,1.9,21.7%,11.3%
2025 Dubai R16,L vs Medvedev,38,39,1.0,31.1%,32.0%,34,32,1.1,32.7%,30.8%,10.6%,6.7%,2.5,16.4%,6.6%
2025 Dubai R32,W vs Zhang,51,16,3.2,36.2%,11.3%,39,14,2.8,32.8%,11.8%,15.1%,5.9%,2.3,30.5%,13.5%
2025 Australian Open R128,L vs Monfils,73,80,0.9,20.6%,22.5%,54,71,0.8,18.4%,24.2%,9.6%,4.1%,1.8,18.9%,10.4%
2025 Brisbane SF,L vs Opelka,40,22,1.8,30.1%,16.5%,29,17,1.7,28.2%,16.5%,5.8%,1.0%,2.8,33.1%,12.0%
2025 Brisbane QF,W vs Mensik,45,22,2.0,30.0%,14.7%,25,20,1.3,22.1%,17.7%,8.0%,0.9%,1.5,25.3%,16.7%
2025 Brisbane R16,W vs Tiafoe,56,33,1.7,38.1%,22.4%,36,29,1.2,31.3%,25.2%,13.0%,5.2%,1.9,19.0%,10.2%
2025 Brisbane R32,W vs Kyrgios,64,27,2.4,29.4%,12.4%,27,20,1.4,17.1%,12.7%,9.5%,3.8%,3.0,19.3%,6.4%
2024 Basel F,W vs Shelton,38,11,3.5,27.5%,8.0%,16,9,1.8,15.7%,8.8%,5.9%,5.9%,2.0,18.8%,9.4%
2024 Basel SF,W vs Rune,29,18,1.6,23.8%,14.8%,12,16,0.8,12.5%,16.7%,8.3%,3.1%,1.2,10.7%,9.0%
2024 Basel QF,W vs Shapovalov,77,27,2.9,37.0%,13.0%,53,21,2.5,32.3%,12.8%,9.8%,2.4%,2.4,27.4%,11.5%
2024 Basel R16,W vs Auger Aliassime,46,15,3.1,39.3%,12.8%,24,13,1.8,29.3%,15.9%,7.3%,3.7%,1.6,25.6%,16.2%
Career (37 matches),,1753,1151,1.5,26.5%,17.4%,1108,963,1.2,20.6%,17.9%,9.4%,4.5%,2.0,19.1%,9.7%
