Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2026 Brisbane R32,W vs Paul,45.5%,57.3%,51.8%,51.9%,53.2%,62.0%,45.9%,62.2%,33.3%,51.0%,100.0%,29.6%,51.9%,63.2%,116
2025 Basel R32,L vs Fonseca,39.4%,54.5%,47.5%,48.3%,39.2%,52.9%,41.9%,50.8%,47.4%,53.1%,100.0%,40.0%,60.0%,66.7%,-79
2025 Brussels QF,W vs Musetti,46.8%,69.4%,68.8%,59.4%,51.0%,75.5%,75.0%,66.9%,42.1%,50.0%,-,33.3%,50.0%,50.0%,37
2025 Shanghai R32,W vs Fritz,38.6%,64.9%,69.7%,48.8%,45.0%,65.0%,63.6%,59.5%,31.6%,28.6%,-,26.7%,73.3%,81.8%,99
2025 Wimbledon R128,L vs Fritz,46.5%,60.5%,52.9%,53.5%,58.5%,75.6%,56.9%,69.0%,43.8%,40.0%,0.0%,29.2%,39.6%,47.1%,130
2025 Stuttgart R16,L vs Auger Aliassime,36.7%,48.3%,45.7%,44.7%,43.2%,59.5%,66.7%,56.2%,50.0%,61.9%,0.0%,30.0%,35.0%,14.3%,118
2025 Roland Garros R128,W vs Bergs,34.6%,46.5%,53.8%,40.9%,43.6%,56.4%,56.8%,53.8%,77.8%,40.5%,0.0%,22.7%,34.1%,50.0%,75
2025 Madrid R128,L vs Navone,30.4%,47.8%,44.7%,40.3%,39.1%,60.9%,57.1%,53.9%,85.7%,76.0%,0.0%,13.6%,22.7%,26.3%,-13
2025 Indian Wells R32,L vs Griekspoor,36.4%,52.7%,63.3%,41.1%,53.6%,67.9%,53.8%,62.9%,78.6%,50.0%,100.0%,22.7%,45.5%,70.6%,86
2025 Dubai R16,L vs Medvedev,29.7%,43.2%,51.1%,36.9%,37.5%,52.1%,50.0%,48.5%,72.0%,56.5%,100.0%,21.1%,36.8%,53.3%,51
2025 Dubai R32,W vs Zhang,36.6%,53.5%,65.1%,50.3%,44.9%,67.3%,74.1%,64.7%,39.1%,57.7%,-,20.0%,25.0%,50.0%,59
2025 Australian Open R128,L vs Monfils,34.8%,51.4%,57.8%,43.2%,39.5%,58.8%,58.0%,52.8%,42.0%,35.9%,25.0%,31.0%,44.8%,57.5%,124
2025 Brisbane SF,L vs Opelka,47.8%,55.1%,45.2%,51.4%,58.3%,68.8%,50.0%,63.5%,45.5%,57.7%,50.0%,31.3%,31.3%,36.4%,144
2025 Brisbane QF,W vs Mensik,50.0%,56.9%,55.9%,54.3%,57.4%,68.1%,50.0%,64.0%,44.4%,58.6%,-,39.1%,39.1%,64.3%,42
2025 Brisbane R16,W vs Tiafoe,46.7%,56.0%,44.4%,53.1%,56.0%,68.0%,54.5%,65.6%,50.0%,46.2%,0.0%,33.3%,38.1%,28.6%,163
2024 Brisbane R32,W vs Kyrgios,59.5%,73.9%,60.5%,64.1%,72.6%,84.9%,60.0%,79.6%,50.0%,62.8%,100.0%,41.9%,64.5%,61.1%,200
2024 Basel F,W vs Shelton,62.5%,78.1%,50.0%,68.0%,67.5%,85.0%,53.8%,76.3%,36.8%,61.9%,-,59.1%,72.7%,44.4%,47
2024 Basel SF,W vs Rune,52.4%,68.3%,64.3%,58.1%,63.2%,78.9%,64.3%,72.6%,66.7%,47.8%,-,39.1%,56.5%,64.3%,42
2024 Basel QF,W vs Shapovalov,53.2%,68.8%,51.1%,58.8%,61.1%,76.4%,46.4%,69.6%,75.9%,58.1%,50.0%,45.2%,64.5%,58.8%,167
2024 Basel R16,W vs Auger Aliassime,66.1%,69.6%,52.9%,67.9%,64.1%,69.2%,50.0%,66.7%,20.0%,50.0%,-,80.0%,80.0%,66.7%,99
Career (36 matches),,43.1%,57.0%,52.0%,50.0%,52.3%,67.3%,54.4%,62.8%,47.0%,52.1%,54.5%,30.8%,44.7%,48.4%,165
