Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2021 Gdynia R32,L vs Falkowska,3.1,3.6,2.5,33.9%,33.3%,0.0%,50.0%,44.6%,10.7%,1.0,2.3,-7.0,-14.3
2020 Australian Open R128,L vs Rodionova,4.2,3.9,4.5,47.7%,58.0%,33.3%,41.2%,53.7%,3.7%,-10.0,-5.3,9.5,6.1
2018 Indian Wells 125K F,L vs Errani,4.7,3.7,5.6,50.9%,39.5%,50.0%,33.3%,46.0%,2.8%,1.0,0.8,2.0,1.4
2018 Brisbane R32,L vs Bellis,3.3,3.5,3.2,40.7%,45.5%,52.9%,33.3%,48.7%,2.1%,5.5,6.3,3.5,3.8
2016 Eastbourne R16,L vs Cibulkova,3.6,3.2,3.9,49.5%,45.2%,33.3%,50.0%,52.7%,13.0%,-6.0,-5.0,8.5,8.7
2016 Strasbourg R16,L vs Vesnina,3.2,3.1,3.3,47.1%,43.2%,66.7%,50.0%,60.5%,4.3%,-1.5,-1.4,9.0,14.1
2016 Istanbul R16,L vs Kucova,4.8,5.3,4.4,48.8%,53.0%,50.0%,44.0%,49.0%,5.0%,7.0,4.0,4.5,2.4
2016 Indian Wells R32,W vs Tsurenko,6.0,5.8,6.2,50.0%,43.1%,46.9%,61.4%,58.9%,1.9%,2.0,0.6,-6.5,-2.5
2015 Beijing R16,L vs Keys,2.9,3.3,2.6,40.4%,53.3%,37.5%,50.0%,32.5%,0.0%,-1.0,-2.1,1.5,1.5
2015 US Open R64,L vs Halep,4.3,5.0,3.3,46.0%,29.6%,64.3%,41.7%,55.3%,4.5%,-1.0,-1.0,-1.5,-1.8
2015 Stanford R32,L vs Svitolina,5.7,5.2,6.1,41.4%,52.0%,50.0%,57.1%,46.7%,4.7%,0.0,0.0,3.0,1.0
2015 Charleston R32,L vs Keys,3.0,3.4,2.5,36.4%,33.3%,25.0%,66.7%,46.2%,3.5%,-5.0,-11.1,-4.5,-8.3
2015 Antwerp Q3,W vs Pfizenmaier,4.6,4.2,4.9,56.4%,65.2%,66.7%,100.0%,40.7%,2.1%,11.0,17.2,8.5,9.3
Career (13 matches),,4.3,4.3,4.3,45.2%,47.1%,46.4%,52.7%,50.5%,4.2%,0.2,0.2,2.3,1.9
