Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2021 Gdynia R32,L vs Falkowska,59.0%,43.5%,15.4%,2/4,2.27,0.0%,50.0%,41.7%,4.2%,1.99,0.0%,78.6%,45.5%,35.7%,2.71,0.0%
2020 Australian Open R128,L vs Rodionova,72.5%,55.4%,4.9%,3/2,2.22,25.4%,72.6%,54.7%,5.5%,2.26,39.1%,84.0%,57.1%,4.0%,2.17,0.0%
2018 Indian Wells 125K F,L vs Errani,77.3%,45.1%,3.0%,0/2,2.46,7.0%,77.6%,47.4%,0.0%,2.55,11.5%,100.0%,38.5%,15.4%,2.31,0.0%
2018 Brisbane R32,L vs Bellis,63.2%,53.5%,5.9%,2/2,2.76,12.2%,58.5%,50.0%,2.4%,2.74,20.0%,79.2%,57.9%,12.5%,2.79,0.0%
2016 Eastbourne R16,L vs Cibulkova,75.3%,51.4%,6.5%,4/1,2.72,11.6%,74.2%,49.0%,6.1%,2.65,17.2%,84.0%,57.1%,8.0%,2.88,0.0%
2016 Strasbourg R16,L vs Vesnina,67.2%,53.3%,6.0%,1/3,2.62,8.2%,68.4%,61.5%,2.6%,2.90,17.4%,70.4%,42.1%,11.1%,2.37,0.0%
2016 Istanbul R16,L vs Kucova,82.3%,58.2%,4.2%,2/2,2.59,7.2%,83.8%,61.3%,4.1%,2.50,7.9%,85.0%,47.1%,5.0%,2.87,5.0%
2016 Indian Wells R32,W vs Tsurenko,79.8%,58.6%,3.7%,0/4,2.37,4.0%,82.7%,56.5%,1.3%,2.27,5.3%,86.2%,64.0%,10.3%,2.68,0.0%
2015 Beijing R16,L vs Keys,55.1%,65.1%,1.3%,0/1,2.70,0.0%,45.5%,45.0%,2.3%,2.71,0.0%,71.9%,82.6%,0.0%,2.68,0.0%
2015 US Open R64,L vs Halep,63.5%,42.4%,3.8%,2/0,2.25,0.0%,55.6%,40.0%,0.0%,2.31,0.0%,81.8%,44.4%,9.1%,2.18,0.0%
2015 Stanford R32,L vs Svitolina,80.7%,53.3%,3.5%,1/3,2.06,11.6%,80.3%,49.1%,1.4%,2.07,17.5%,81.4%,60.0%,7.0%,2.05,0.0%
2015 Charleston R32,L vs Keys,53.7%,40.9%,9.8%,3/1,2.81,0.0%,34.6%,33.3%,7.7%,2.92,0.0%,92.9%,46.2%,14.3%,2.68,0.0%
2015 Antwerp Q3,W vs Pfizenmaier,77.8%,71.4%,0.0%,0/0,1.98,14.3%,69.6%,62.5%,0.0%,1.90,23.5%,100.0%,78.9%,0.0%,2.10,0.0%
Career (13 matches),,71.9%,54.4%,4.7%,43.5%,2.43,8.5%,70.2%,52.6%,3.0%,2.41,12.7%,82.7%,57.5%,8.8%,2.46,0.4%
