Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2005 WTA Tour Championships F,L vs Mauresmo,0.90,0.97,80.3,4.1,1.9%,59.3%,6.1%,65.3%,39.2%,42.0%
2005 Moscow F,W vs Schiavone,1.23,1.53,47.0,2.3,0.0%,76.7%,11.1%,48.1%,35.5%,57.1%
2005 US Open F,L vs Clijsters,0.80,0.48,33.7,2.1,0.0%,44.4%,4.5%,50.0%,36.0%,27.3%
2005 San Diego F,W vs Sugiyama,1.29,2.11,34.4,2.0,3.1%,62.5%,9.7%,51.6%,57.9%,83.3%
2005 Wimbledon QF,L vs Williams,1.11,0.71,71.0,2.0,2.6%,71.1%,0.0%,44.4%,18.2%,36.7%
2005 Roland Garros F,L vs Henin,0.97,0.46,35.0,2.2,4.2%,41.7%,0.0%,41.7%,31.8%,23.8%
2005 Roland Garros SF,W vs Likhovtseva,0.94,2.78,35.2,2.0,0.0%,89.5%,0.0%,70.6%,56.0%,59.1%
2000 Roland Garros F,W vs Martinez,0.89,1.39,52.4,2.2,0.0%,68.8%,0.0%,64.3%,51.1%,53.3%
2000 Roland Garros SF,W vs Hingis,0.99,1.10,69.4,2.9,7.1%,54.8%,0.0%,50.0%,52.8%,52.9%
2000 Roland Garros QF,W vs Seles,1.04,1.35,59.3,4.0,4.5%,72.7%,10.5%,68.4%,40.4%,35.0%
2000 Hilton Head F,W vs Sanchez Vicario,0.85,1.83,39.3,2.0,14.3%,61.9%,5.6%,77.8%,63.6%,68.2%
2000 Indian Wells SF,L vs Hingis,0.87,0.50,37.8,3.5,3.4%,48.3%,11.5%,53.8%,24.0%,33.3%
1999 Rome F,L vs Williams,0.96,0.65,46.5,2.5,6.9%,41.4%,3.7%,51.9%,42.9%,29.2%
1999 Australian Open QF,L vs Hingis,0.84,0.71,45.0,2.2,3.0%,42.4%,6.1%,57.6%,40.5%,44.4%
1998 Kremlin Cup F,W vs Seles,1.11,1.40,49.8,3.3,10.0%,62.5%,0.0%,73.7%,38.9%,41.9%
1997 WTA Tour Championships F,L vs Novotna,0.97,0.84,39.1,2.6,0.0%,66.7%,8.3%,63.9%,27.6%,32.7%
1997 Rome F,W vs Martinez,0.97,1.42,53.2,2.7,0.0%,46.4%,0.0%,69.2%,60.0%,65.2%
1997 Australian Open F,L vs Hingis,1.02,0.57,40.3,2.2,0.0%,38.5%,4.3%,43.5%,40.0%,25.0%
1997 Australian Open SF,W vs Coetzer,0.97,1.56,41.0,2.1,3.6%,60.7%,4.3%,65.2%,73.3%,44.4%
1995 Paris F,L vs Graf,0.87,0.54,41.3,2.0,3.7%,63.0%,8.0%,44.0%,11.5%,47.8%
2005 (7 matches),,1.02,1.02,54.9,2.3,1.8%,62.9%,4.9%,53.4%,38.0%,45.2%
2000 (5 matches),,0.94,1.18,54.9,2.7,5.4%,61.9%,5.4%,61.5%,46.9%,48.6%
1999 (2 matches),,0.89,0.69,45.7,2.3,4.8%,41.9%,5.0%,55.0%,41.5%,38.3%
1998 (1 matches),,1.11,1.40,49.8,3.3,10.0%,62.5%,0.0%,73.7%,38.9%,41.9%
1997 (4 matches),,0.98,0.99,42.6,2.4,0.8%,54.8%,4.6%,61.1%,45.7%,39.5%
Career (23 matches),,0.99,1.07,50.0,2.4,3.2%,58.8%,4.3%,59.0%,43.5%,45.6%
