Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2005 WTA Championships F,L vs Mauresmo,22.3%,44.7%,51.2%,24.6%,53.6%,55.8%,53.1%,70.3%,50.0%,17.6%,26.5%,42.9%,25.0%,33.3%,0.0%,-104
2005 Moscow F,W vs Schiavone,24.6%,35.1%,55.0%,28.2%,41.0%,46.4%,33.3%,61.9%,100.0%,20.0%,26.7%,75.0%,0.0%,66.7%,-,73
2005 US Open F,L vs Clijsters,14.3%,26.5%,39.0%,18.2%,33.3%,40.7%,73.3%,55.6%,50.0%,6.7%,13.3%,35.7%,44.4%,83.3%,100.0%,-47
2005 US Open SF,W vs Dementieva,31.7%,42.7%,50.0%,42.3%,51.9%,60.0%,68.0%,51.9%,25.0%,16.7%,33.3%,35.0%,0.0%,57.1%,100.0%,30
2005 San Diego F,W vs Sugiyama,23.8%,36.5%,46.5%,31.1%,46.7%,48.4%,21.1%,38.5%,100.0%,7.7%,15.4%,41.7%,20.0%,12.5%,-,-51
2005 Wimbledon QF,L vs Williams,18.9%,36.5%,52.7%,25.0%,43.2%,54.5%,44.4%,26.9%,66.7%,12.0%,32.0%,50.0%,25.0%,58.8%,-,-4
2005 Roland Garros F,L vs Henin,16.7%,20.8%,34.3%,21.2%,27.3%,30.8%,55.6%,33.3%,25.0%,10.0%,10.0%,44.4%,0.0%,60.0%,-,-42
2005 Roland Garros SF,W vs Likhovtseva,38.9%,55.6%,71.4%,33.3%,54.2%,75.0%,57.1%,50.0%,100.0%,54.5%,63.6%,60.0%,33.3%,75.0%,-,-3
2000 Roland Garros F,W vs Martinez,11.7%,18.3%,66.0%,13.3%,20.0%,74.4%,34.8%,72.7%,0.0%,8.3%,16.7%,36.4%,0.0%,66.7%,100.0%,-42
2000 Roland Garros SF,W vs Hingis,12.5%,22.5%,50.8%,18.2%,31.8%,55.6%,27.3%,45.5%,33.3%,6.9%,13.8%,44.4%,0.0%,73.3%,75.0%,-55
2000 Roland Garros QF,W vs Seles,23.2%,42.7%,66.1%,28.0%,52.0%,77.8%,21.7%,25.9%,66.7%,17.9%,32.1%,47.8%,7.7%,46.7%,-,47
2000 Hilton Head F,W vs Sanchez Vicario,20.5%,43.6%,63.3%,28.0%,48.0%,72.2%,54.5%,21.4%,50.0%,7.7%,38.5%,50.0%,60.0%,50.0%,-,-36
2000 Indian Wells SF,L vs Hingis,12.7%,25.5%,46.7%,15.0%,27.5%,47.1%,26.3%,33.3%,0.0%,8.3%,25.0%,45.5%,0.0%,25.0%,0.0%,-42
1999 Rome F,L vs Williams,12.5%,26.8%,39.6%,15.4%,33.3%,48.5%,15.8%,25.0%,33.3%,6.3%,12.5%,20.0%,0.0%,37.5%,100.0%,-51
1999 Australian Open QF,L vs Hingis,18.2%,25.8%,40.4%,20.8%,31.3%,44.7%,26.9%,22.7%,0.0%,12.5%,12.5%,28.6%,0.0%,50.0%,0.0%,9
1998 Moscow F,W vs Seles,25.6%,41.0%,57.9%,28.3%,45.3%,55.3%,16.0%,14.3%,0.0%,20.8%,33.3%,63.2%,0.0%,18.8%,0.0%,-56
1997 WTA Tour Championships F,L vs Novotna,28.2%,38.5%,52.7%,30.8%,44.2%,58.3%,28.6%,54.8%,0.0%,24.0%,28.0%,42.1%,25.0%,53.8%,0.0%,-57
1997 Roland Garros R128,W vs Panova,22.0%,29.3%,54.7%,30.6%,38.8%,58.8%,52.2%,53.8%,40.0%,13.6%,22.7%,47.4%,50.0%,50.0%,100.0%,9
1997 Rome F,W vs Martinez,5.6%,27.8%,56.0%,5.7%,28.6%,60.6%,38.1%,85.7%,100.0%,5.6%,27.8%,47.1%,14.3%,72.7%,50.0%,-58
1997 Australian Open F,L vs Hingis,10.2%,22.4%,35.7%,12.9%,25.8%,29.6%,25.0%,53.3%,66.7%,6.3%,18.8%,46.7%,25.0%,75.0%,100.0%,-55
Career (29 matches),,18.3%,30.7%,50.7%,21.5%,35.7%,53.2%,38.3%,50.5%,49.0%,14.7%,25.5%,45.3%,23.3%,53.0%,51.6%,32
