Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),291,228,178,1594,211,1512,150,1559,99,1571,855,54,,
2025,180,389,154,1628,182,1536,144,1576,94,1588,864,55
2024,262,263,407,1313,392,1290,358,1295,,,960,38
2023,956,20,,,,,,,,,,
2022,1037,12,,,,,,,,,,
2021,676,52,,,,,,,,,,
2020,595,59,,,,,,,,,658,67
2019,555,60,,,,,,,,,618,67
2018,638,19,,,,,,,,,416,119
2017,1023,8,,,,,,,,,223,314
2016,1002,9,,,,,,,,,797,29
