Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,150,102,48,68.0%,211-118,64.1%,1633-1323,55.2%,25-15,62.5%,0,,,,,,,,,,,
Clay,517,381,136,73.7%,799-358,69.1%,5944-4273,58.2%,51-50,50.5%,0,,,,,,,,,,,
Grass,12,6,6,50.0%,11-17,39.3%,120-142,45.8%,1-1,50.0%,0,,,,,,,,,,,
Carpet,193,117,76,60.6%,227-172,56.9%,1912-1741,52.3%,38-24,61.3%,0,,,,,,,,,,,
Grand Slams,63,45,18,71.4%,123-61,66.8%,940-692,57.6%,10-7,58.8%,0,,,,,,,,,,,
Masters,75,53,22,70.7%,103-59,63.6%,796-625,56.0%,4-7,36.4%,0,,,,,,,,,,,
Other Tours,757,526,231,69.5%,1056-556,65.5%,8112-6318,56.2%,103-77,57.2%,0,,,,,,,,,,,
Best of 5,99,64,35,64.6%,183-123,59.8%,1477-1246,54.2%,16-15,51.6%,0,,,,,,,,,,,
Best of 3,796,560,236,70.4%,1099-553,66.5%,8371-6389,56.7%,101-76,57.1%,0,,,,,,,,,,,
Finals,46,24,22,52.2%,60-57,51.3%,534-526,50.4%,7-10,41.2%,0,,,,,,,,,,,
Semi-finals,93,45,48,48.4%,99-112,46.9%,913-965,48.6%,18-19,48.6%,0,,,,,,,,,,,
Quarter-finals,142,89,53,62.7%,180-123,59.4%,1473-1275,53.6%,20-19,51.3%,0,,,,,,,,,,,
vs Righties,722,520,202,72.0%,1054-516,67.1%,7977-6046,56.9%,94-67,58.4%,0,,,,,,,,,,,
vs Lefties,163,94,69,57.7%,208-160,56.5%,1749-1545,53.1%,23-24,48.9%,0,,,,,,,,,,,
vs Top 10,108,34,74,31.5%,84-153,35.4%,939-1165,44.6%,9-20,31.0%,0,,,,,,,,,,,
