Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),201,293,251,1516,351,1367,208,1503,,,,,,
2025,230,247,286,1478,,,237,1461,,,,,,
2024,315,159,313,1435,367,1321,257,1430,249,1342,850,46,,
2023,173,352,223,1522,303,1383,168,1526,207,1412,,,,
2022,224,246,254,1488,276,1410,216,1483,207,1413,,,,
2021,313,167,274,1453,257,1420,250,1435,,,,,,
2020,415,93,,,,,,,,,560,70,,
2019,410,84,,,,,,,,,579,62,,
2018,641,1,,,,,,,,,672,8,,
2017,533,60,,,,,,,,,,,,
2016,954,13,,,,,,,,,1526,6,,
2014,1727,1,,,,,,,,,,,,
