Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
1996,225,78,143,1661,142,1583,111,1643,86,1579,,,,
1994,336,2,,,,,,,,,,,,
1993,83,18,99,1737,109,1648,82,1696,72,1614,,,,
1992,111,10,118,1705,115,1636,102,1662,85,1595,,,,
1991,106,11,110,1723,98,1660,95,1668,79,1596,,,,
1990,69,16,56,1799,44,1735,50,1721,59,1645,,,,
1989,52,22,42,1825,41,1732,44,1744,45,1669,,,,
1988,88,9,110,1655,86,1609,86,1616,,,,,,
1987,26,29,17,1948,18,1842,17,1865,,,,,,
1986,8,66,14,1968,18,1832,10,1943,13,1846,,,,
1985,11,,10,2066,11,1930,10,1968,9,1938,,,,
1984,23,,21,1908,24,1785,13,1873,25,1743,,,,
1983,,,29,1887,19,1758,18,1865,36,1706,,,,
1982,,,31,1828,15,1764,15,1835,37,1685,,,,
1981,,,17,1896,20,1764,16,1795,38,1648,,,,
1980,,,141,1554,79,1523,,,,,,,,
